회사명,거래소코드,회계년도,당기순이익,영업현금흐름,자본,유동비율,부채비율,매출액총이익률,총자본회전률,자기자본정상영업이익률,ROA
(주)고려시멘트,198440,2017-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
(주)고려시멘트,198440,2018-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
(주)고려시멘트,198440,2019-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
(주)고려시멘트,198440,2020-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
(주)고려시멘트,198440,2021-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
(주)고려시멘트,198440,2022-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
(주)고바이오랩,348150,2020-12-01,-55072387,-12770564,55390674,1871.28,5.68,57.54,0.08,-22.29,-94.08117214968826
(주)고바이오랩,348150,2021-12-01,-15381916,-12480855,90588508,1441.79,16.22,65.98,0.04,-22.38,-14.609722756154161
(주)고바이오랩,348150,2022-12-01,-23385891,-16555996,95454891,1145.83,29.83,69.11,0.1,-21.81,-18.87025212165448
(주)고영테크놀러지,98460,2011-12-01,15634438,13903738,69622726,424.78,24.97,57.08,1.09,30.17,17.969337610775582
(주)고영테크놀러지,98460,2012-12-01,15221925,11397833,83401095,498.93,23.92,57.02,1.13,28.03,14.72823956467591
(주)고영테크놀러지,98460,2013-12-01,13933294,13282913,98319609,532.19,23.02,55.34,1.0,18.46,11.519725279902625
(주)고영테크놀러지,98460,2014-12-01,22111066,25603240,115835240,530.61,22.35,57.81,1.09,26.29,15.601886431857249
(주)고영테크놀러지,98460,2015-12-01,23530903,16569102,131475647,579.96,20.83,61.0,0.97,18.96,14.812573651248107
(주)고영테크놀러지,98460,2016-12-01,29723733,29234878,157267580,563.7,24.07,62.83,0.97,22.99,15.233468610421557
