,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률
25,(주)SH에너지화학,2360,2019/12,0.8,-249.05,-223.7,-5.94,-23.28,1.28,4.73,-2.22,-2.19,-3.06,-2.84,-0.2,102.32,35.02,1.15,1.38,6.79,1.66,2.16,7.22,6.14,1.54,0.0,82.02,0.0,0.0,0.0,11.1,44.32,-25.8,144.7,76.79,102.46,9.73,110.44,80.22,1110.48,887.83,542.25,22.03,1864.22,24.66,43.59,121.45,8.62,7.56,1267.34,867.69,-2.537055375521027,-2.5038529902711346
26,(주)SH에너지화학,2360,2020/12,-4.91,0.0,0.0,-7.76,-33.56,1.9,1.16,-8.39,-7.42,-8.31,-7.29,-0.12,109.87,30.22,0.78,0.99,3.62,1.2,1.44,7.1,5.37,1.09,0.0,46.05,0.0,0.0,0.0,7.01,27.05,-61.9,37.91,64.31,65.54,8.79,189.0,76.7,979.37,849.69,445.74,14.75,1199.88,30.38,37.11,89.84,8.65,10.84,842.04,801.96,-6.69054011570922,-5.91837217088969
27,(주)SH에너지화학,2360,2021/12,1.94,0.0,0.0,1.94,49.39,-5.59,7.1,0.25,0.44,0.38,0.69,-0.07,99.14,31.35,1.18,1.54,5.06,1.86,2.17,12.76,7.27,1.63,0.0,124.52,0.0,0.0,0.0,15.92,56.14,5.7,-34.09,67.5,119.06,13.62,82.57,76.69,599.23,504.85,149.24,18.91,1473.27,30.4,0.76,1.92,0.18,0.15,1257.89,806.59,0.2865725148483573,0.5108098401978557
28,(주)SH에너지화학,2360,2022/12,3.79,134.88,196.29,2.59,19.71,3.29,6.55,0.48,1.09,0.87,1.99,-0.14,98.57,32.29,1.37,1.8,5.78,2.09,2.65,9.94,7.61,1.82,0.0,130.81,0.0,0.0,0.0,17.19,57.61,16.8,-21.08,71.75,111.27,12.75,79.1,75.79,759.41,561.05,158.53,30.08,1317.1,31.94,-10.2,-20.47,-2.47,-1.83,1505.81,820.82,0.648531818852359,1.4758373796350286
29,(주)SIMPAC,9160,2012/12,2.5,-7.88,-22.78,11.2,4.64,7.0,18.86,11.18,8.56,14.12,10.81,-0.95,82.16,17.53,0.72,1.26,1.65,1.47,1.78,8.7,3.61,0.85,0.16,165.47,233.39,45.03,1117.7,13.74,59.15,714.0,452.36,1205.3,353.46,19.42,41.97,58.95,140.97,117.58,22.15,57.1,170.02,69.63,12.07,39.15,4.96,7.01,7748.11,5979.67,7.905241265445408,6.052068924121548
30,(주)SIMPAC,9160,2013/12,13.59,-6.32,3.93,11.16,-8.7,0.73,20.1,11.47,9.74,11.9,10.11,-1.49,86.97,14.48,0.6,1.04,1.45,1.57,1.96,8.07,3.06,0.82,0.17,159.27,232.03,47.67,1262.95,12.74,62.56,742.0,414.67,1349.5,349.24,22.41,38.71,57.69,81.19,62.03,7.16,0.0,182.56,73.34,8.23,19.01,3.48,6.13,7074.15,6688.31,6.519411295285571,5.537120797719491
31,(주)SIMPAC,9160,2014/12,5.51,-26.52,-28.56,4.71,27.9,10.11,16.37,6.59,5.44,8.1,6.7,0.53,94.06,11.14,0.71,1.23,1.67,2.08,2.81,7.93,3.67,1.0,0.19,114.89,223.93,42.75,1079.76,13.54,30.95,530.0,1184.25,1417.16,284.41,19.65,54.56,57.37,105.96,76.17,19.44,500.06,158.91,74.3,14.28,56.94,6.09,8.84,9047.72,6901.02,4.540486109361451,3.747275996992831
32,(주)SIMPAC,9160,2015/12,10.71,22.48,14.79,6.1,2.42,-2.95,17.85,7.88,6.1,9.42,7.29,0.44,92.04,14.09,0.67,1.19,1.52,1.69,2.43,5.56,3.56,0.86,0.27,163.89,238.62,53.4,1247.8,14.18,34.11,608.0,352.64,1508.53,295.6,22.25,52.03,54.87,102.82,69.62,14.76,1176.28,145.26,82.25,11.71,42.01,5.29,8.29,9266.93,7408.57,5.023498318587357,3.890414345062037
33,(주)SIMPAC,9160,2016/12,-1.17,10.95,-1.54,3.62,-0.91,3.38,18.48,8.82,6.06,9.98,6.85,0.42,92.06,12.76,0.64,1.13,1.45,1.52,2.15,5.23,3.67,0.79,0.28,149.73,0.0,0.0,0.0,14.14,33.07,603.0,1211.82,1585.77,247.21,22.13,51.46,57.53,113.8,84.21,33.41,214.43,143.41,73.81,12.82,41.51,5.44,8.52,9182.56,7746.68,5.639660083134699,3.8729792814562023
34,(주)SIMPAC,9160,2017/12,-8.78,-50.36,-20.32,0.17,-13.64,-0.33,16.31,5.07,5.59,4.86,5.36,0.37,95.9,8.35,0.58,0.96,1.45,1.41,1.9,5.41,3.21,0.75,0.39,109.55,0.0,0.0,0.0,11.36,25.07,509.0,-328.13,1643.73,218.27,18.77,60.25,63.18,115.32,85.28,23.55,196.07,260.25,58.27,9.16,23.27,3.37,5.57,7929.7,7591.43,3.069044148804219,3.3832926261381133
