Unnamed: 0,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률,부실
1620,(주)에스지글로벌,1380,2017/12,-6.06,-150.45,0.0,5.43,1.3,25.89,5.83,-1.28,0.24,-1.52,0.29,1.21,98.77,41.55,0.7,1.18,1.73,2.7,4.95,5.92,6.86,1.2,0.77,97.32,0.0,0.0,0.0,8.94,77.66,8.0,248.9,474.95,298.15,12.31,60.8,62.87,85.16,45.03,11.72,0.0,121.63,59.05,3.87,7.23,1.44,1.98,3360.0,2688.97,-0.9307405411804311,0.1772444502708475,0
1621,(주)에스지글로벌,1380,2018/12,1.12,0.0,828.97,2.37,-6.1,-36.88,10.39,3.85,2.42,4.13,2.59,1.21,96.45,42.86,0.68,1.07,1.84,2.67,4.68,6.23,7.54,1.32,0.31,126.8,0.0,0.0,0.0,9.87,73.12,74.0,78.1,488.02,324.26,14.65,60.46,63.65,113.92,69.45,22.5,319.4,158.96,57.12,9.73,17.5,3.54,5.25,2992.34,2532.72,2.5967981144842023,1.6283110219414187,0
1622,(주)에스지글로벌,1380,2019/12,2.22,-25.53,-76.83,2.37,-6.5,-1.12,10.32,3.07,0.6,3.0,0.59,1.32,100.94,44.54,0.62,0.98,1.72,2.48,3.9,6.85,7.0,1.23,0.26,137.11,130.67,78.09,2017.26,7.37,65.87,17.0,353.81,478.76,202.23,11.95,74.51,63.74,84.79,56.52,20.84,0.0,128.22,56.9,13.12,31.22,4.76,7.72,2797.73,2712.46,1.8918611705639967,0.3691451370512104,0
1623,(주)에스지글로벌,1380,2020/12,-2.55,24.22,0.0,-2.78,-32.38,-6.82,13.58,5.64,-2.69,3.74,-1.79,0.89,95.11,45.26,0.42,0.66,1.16,1.76,2.46,6.18,5.21,0.89,0.25,129.43,170.29,80.95,2242.25,7.74,58.31,-51.0,57.38,462.67,223.01,18.09,64.98,63.58,130.68,99.97,45.56,100.09,161.34,57.27,12.77,20.96,4.65,10.87,1891.73,2699.55,2.411549928599632,-1.1518439041556854,0
1624,(주)에스지글로벌,1380,2021/12,0.0,0.0,0.0,0.0,0.0,53.66,12.84,-0.98,-9.61,-0.46,-4.51,2.28,95.52,43.57,0.31,0.47,0.9,1.99,3.01,5.89,6.95,1.37,0.0,56.52,0.0,0.0,0.0,4.42,30.15,-123.0,86.53,447.25,114.13,14.3,93.72,65.76,221.14,146.3,69.36,61.78,239.83,52.07,6.08,9.08,2.08,6.73,1284.84,2643.12,-0.3025904183163927,-2.967926877522832,0
1625,(주)에스지글로벌,1380,2022/12,-0.58,0.0,0.0,-1.48,17.12,-11.11,10.3,-2.13,-3.61,-1.18,-2.0,2.14,102.22,44.82,0.36,0.55,1.05,2.11,3.07,6.74,9.07,1.12,0.26,119.83,0.0,0.0,0.0,7.08,39.8,-54.0,173.85,439.15,189.2,19.45,61.68,65.16,81.16,57.44,36.91,0.0,84.52,53.46,9.04,13.5,3.15,8.65,1504.78,2649.6,-0.7755089282383637,-1.3153210032333371,0
1659,(주)에이엔피,15260,2012/12,6.76,156.33,0.0,17.9,7.35,-0.29,10.9,3.89,0.55,25.39,3.45,1.41,98.77,-13.18,1.7,6.53,2.31,2.77,4.32,7.75,6.36,1.31,0.13,65.12,97.57,49.52,256.78,22.87,73.06,54.0,231.65,204.96,242.7,13.86,64.02,27.01,92.6,58.7,1.4,0.0,99.07,270.29,4.91,9.61,3.58,2.17,12944.56,1487.85,6.417183353725263,0.904057514914832,0
1660,(주)에이엔피,15260,2013/12,-1.06,-27.82,0.0,3.5,12.72,-2.01,9.5,2.49,-0.36,16.95,-1.7,1.06,99.47,-10.85,1.87,6.81,2.58,3.08,4.64,9.15,6.86,1.52,0.11,66.98,105.85,54.71,292.69,24.98,75.13,-25.0,297.46,193.23,245.65,13.29,70.56,27.93,102.23,71.1,9.17,1394.81,114.24,258.01,5.24,9.35,3.78,2.01,12236.84,1317.48,4.681172953143953,-0.6735362091217335,0
1661,(주)에이엔피,15260,2014/12,23.16,16.11,0.0,-1.31,4.15,7.33,10.39,2.78,0.42,19.79,2.76,1.08,98.54,-9.56,1.75,7.13,2.33,2.87,3.89,10.84,5.58,1.42,0.1,68.47,98.98,46.7,275.43,27.49,95.87,40.0,-25.74,189.41,323.75,17.29,71.39,21.93,94.84,72.7,5.46,0.0,122.98,356.06,2.17,4.06,1.69,1.07,12744.68,1339.87,4.413182530920623,0.6645283533287842,0
1662,(주)에이엔피,15260,2015/12,-62.67,-26.85,0.0,-3.43,9.6,2.73,9.72,1.85,-0.68,16.31,-6.75,0.81,99.66,11.6,2.54,8.8,3.57,4.58,6.31,16.69,8.72,2.25,0.07,67.42,105.02,46.54,290.32,50.11,128.92,-95.0,119.45,167.36,352.72,10.74,80.32,47.32,104.62,55.92,11.12,1054.03,438.45,111.33,3.13,4.22,1.65,0.35,13408.35,1318.67,8.647913683593798,-3.196025149850846,0
