,회사명,거래소코드,회계년도,외환보유액(천달러),경기동행지수,총자본투자효율,CASH FLOW 대 총자본비율,CASH FLOW 대 부채비율,부가가치율,타인자본회전률,자기자본정상영업이익률,순운전자본회전률,당좌비율,순이익증가율,정상영업이익증가율,부실
106,(주)경동인베스트,12320,2017,379476576,97.3,9.76,7.26,21.88,29.99,0.53,7.36,0.34,289.07,171.4286722298257,26.9,0.0
107,(주)경동인베스트,12320,2018,393332482,98.7,21.65,6.14,18.72,56.06,1.16,9.82,0.78,201.18,-42.56214320348248,7.78,0.0
108,(주)경동인베스트,12320,2019,397876077,101.2,21.42,3.71,11.76,47.72,1.41,5.41,0.92,242.92,-70.30971900101962,-44.0,0.0
109,(주)경동인베스트,12320,2020,430117234,101.6,24.38,4.31,16.04,46.26,1.78,4.61,0.98,275.22,86.13021960569371,-11.36,0.0
110,(주)경동인베스트,12320,2021,438319248,106.3,25.66,3.8,15.9,49.66,2.01,3.19,0.99,325.12,-15.72653339124101,-28.63,0.0
111,(주)경동인베스트,12320,2022,399043064,108.8,24.58,4.48,19.33,52.34,2.01,3.3,0.92,309.22,-32.64335693331835,5.88,0.0
112,(주)경방,50,2012,316897731,82.1,6.05,0.12,0.22,24.2,0.46,1.16,0.8,42.91,-599.2864953937359,-67.31,0.0
113,(주)경방,50,2013,335647450,85.0,8.41,2.66,5.22,31.43,0.51,5.73,1.32,46.74,284.2488680392123,396.72,0.0
114,(주)경방,50,2014,353600472,87.2,8.07,2.88,5.73,31.92,0.5,4.77,0.88,15.5,-21.17359931578635,-15.02,0.0
115,(주)경방,50,2015,358513845,91.0,8.88,2.42,4.86,32.75,0.55,5.95,0.89,29.7,45.29490477888659,27.25,0.0
116,(주)경방,50,2016,361701404,94.1,9.66,4.14,8.67,33.31,0.59,6.47,1.36,38.72,76.57979975393243,11.49,0.0
117,(주)경방,50,2017,379476576,97.3,9.88,4.94,10.95,34.88,0.6,6.14,1.08,18.26,-14.11239590665821,-2.6,0.0
118,(주)경방,50,2018,393332482,98.7,7.53,2.69,5.9,27.89,0.6,5.82,1.01,37.34,-20.24904957902832,-3.14,0.0
119,(주)경방,50,2019,397876077,101.2,9.28,2.88,6.28,37.0,0.56,4.42,0.93,121.4,116.0637490037392,-21.86,0.0
120,(주)경방,50,2020,430117234,101.6,7.56,3.97,9.61,29.03,0.57,2.95,0.77,31.77,-70.13934898491073,-31.75,0.0
121,(주)경방,50,2021,438319248,106.3,7.95,1.65,4.03,26.35,0.74,7.15,1.08,35.92,71.06086327931781,0.0,0.0
122,(주)경방,50,2022,399043064,108.8,6.52,2.01,5.08,20.9,0.77,4.23,1.1,34.71,-80.18457149935284,-40.71,0.0
123,(주)경보제약,214390,2015,358513845,91.0,32.91,5.19,13.95,36.14,2.07,26.82,1.01,86.12,202.34,-7.36,0.0
124,(주)경보제약,214390,2016,361701404,94.1,30.44,7.26,19.89,33.22,2.54,12.37,1.08,75.17,0.0,-39.16,0.0
125,(주)경보제약,214390,2017,379476576,97.3,34.32,12.48,40.35,36.69,2.78,18.15,1.11,103.8,0.0,57.67,0.0
126,(주)경보제약,214390,2018,393332482,98.7,31.09,5.57,16.99,34.22,2.96,11.89,1.09,108.83,0.0,-29.77,0.0
127,(주)경보제약,214390,2019,397876077,101.2,26.68,4.74,12.71,33.1,2.38,4.15,0.94,73.81,0.0,-64.13,0.0
128,(주)경보제약,214390,2020,430117234,101.6,28.77,8.78,22.88,33.84,2.32,5.68,0.98,81.08,0.0,39.83,0.0
129,(주)경보제약,214390,2021,438319248,106.3,19.47,8.18,21.23,27.04,1.81,-4.39,0.79,60.23,0.0,0.0,0.0
130,(주)경보제약,214390,2022,399043064,108.8,22.7,5.84,14.51,27.82,2.09,0.96,0.95,61.61,0.0,0.0,0.0
131,(주)경인양행,12610,2012,316897731,82.1,17.58,5.33,13.62,23.12,1.71,2.07,0.85,80.65,-27.46951177261326,-42.69,0.0
132,(주)경인양행,12610,2013,335647450,85.0,19.13,3.45,8.59,23.25,2.18,6.11,0.99,78.7,387.9748706825107,206.1,0.0
133,(주)경인양행,12610,2014,353600472,87.2,23.34,3.1,8.46,26.36,2.29,7.26,1.04,86.73,-0.6603848386455763,26.44,0.0
134,(주)경인양행,12610,2015,358513845,91.0,20.7,3.64,9.48,25.7,2.19,3.36,0.98,74.26,-63.8272994340796,-52.33,0.0
135,(주)경인양행,12610,2016,361701404,94.1,21.96,3.55,8.99,27.51,2.1,5.17,0.92,76.98,86.26307753286324,57.44,0.0
136,(주)경인양행,12610,2017,379476576,97.3,21.54,3.4,8.28,25.7,2.12,3.51,0.95,77.25,-30.10261612320955,-30.37,0.0
137,(주)경인양행,12610,2018,393332482,98.7,23.92,0.87,1.9,29.83,1.97,9.06,0.93,70.7,188.7876735445255,167.37,0.0
138,(주)경인양행,12610,2019,397876077,101.2,23.51,0.92,1.84,30.94,1.69,10.21,0.86,57.44,18.62787987899042,19.62,0.0
139,(주)경인양행,12610,2020,430117234,101.6,17.17,6.07,11.08,26.34,1.29,1.45,0.71,71.09,-146.305555284104,-85.69,0.0
140,(주)경인양행,12610,2021,438319248,106.3,22.71,5.5,9.73,32.63,1.33,11.81,0.75,70.22,458.8984341334817,741.42,0.0
