,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률,CP전년대비증가율,경기선행지수,경기동행지수,GDP대비국가부채비율,CPI,CPI증감률,실질GDP성장률,코스닥연수익률 (%),코스피연수익률(%),코스닥변동성,코스피변동성,장단기금리차(전월차)(%p),실업률,외환보유액(천달러),CD이자율,환율,수출물가지수증감률,수입물가지수증감률,3년국고채수익률,생산자물가지수,생산자물가지수증감률,부실
20,(주)네오펙트,290660,2019,30.89061941821609,0.0,-64.77681681586925,-55.56099204922535,117.7790282240182,64.06,26.20863631161448,-110.87,-128.95,-66.9,-77.93,7.14,224.69,-238.41,0.3,0.6,0.58,0.5,0.56,4.972455757819564,3.04,0.3,0.0,-118.53,109.21,3.85,417.26,-3.55,-12.97,-1.313401166290024,-1153.53,108.05,-412.93,-13.55,-682.6633105597507,26.7,73.27,63.12,10.98,-37.95972542834314,1118.68,274.49,-32.07,-53.58,-23.51,-89.77,1020.2,1309.02,-29.03019804449314,-33.76507012278999,0.546448087,98.0,101.2,37.6,102.0,4.081632653,2.677446185,-0.861393786,7.674023038,-0.86,7.67,0.12,3.5,397876077,1.53,1156.4,-3.353183692,0.831050228,1.36,100.46,0.0298715523,1.0
21,(주)네온테크,306620,2022,22.67130689283054,0.0,-80.54978054460264,28.46052667616928,6.034412539045082,-4.2,17.25874460382517,-7.11,-15.23,-9.38,-20.03,1.72,108.84,-13.41,0.64,1.32,1.26,1.34,2.32,3.192312528995899,5.69,0.73,0.26,36.6,341.45,31.03,629.72,6.93,13.42,-0.1914452956805622,-34.05,1073.58,157.59,11.87,137.18091275202,49.79,112.54,66.76,23.58,364.9661775770587,93.66,100.84,-9.91,-22.51,-4.98,-8.52,1268.7,1030.44,-4.152641202826842,-8.897692326352272,163.6363636,109.3,108.8,49.4,90.0,-13.46153846,1.345043666,-34.30337232,-24.8937929,-34.3,-24.89,-0.35,3.0,399043064,3.98,1264.5,16.64187593,20.57393653,3.722,115.29,8.375634518,1.0
22,(주)네이블,153460,2019,0.0,0.0,0.0,0.0,0.0,-24.34,49.99586443796446,-3.92,-3.02,-2.0,-1.54,-2.0,100.06,19.21,0.46,0.51,4.39,0.64,0.65,35.51470081319821,8.79,0.56,0.04,80.44,0.0,0.0,0.0,35.65,148.23,0.1001971142020124,-299.96,660.44,0.0,74.84,93.68209194636968,92.45,959.85,955.93,448.85,0.4565085638312425,275.59,8.16,-73.37,-17654.46,-5.54,-11.62,1892.91,3630.04,-1.867979435986792,-1.437153301169226,0.546448087,98.0,101.2,37.6,102.0,4.081632653,2.677446185,-0.861393786,7.674023038,-0.86,7.67,0.12,3.5,397876077,1.53,1156.4,-3.353183692,0.831050228,1.36,100.46,0.0298715523,1.0
23,(주)네이처셀,7390,2012,0.0,0.0,0.0,0.0,0.0,-1.43,49.99586443796446,-1.68,-6.98,-5.5,-22.84,2.46,107.11,-128.62,1.07,3.27,1.58,1.93,3.4,35.51470081319821,9.62,0.91,0.25,34.17,139.31,30.26,359.78,9.5,24.53,0.1001971142020124,-32.57,26.03,112.91,8.67,93.68209194636968,34.74,96.11,53.03,2.74,-1106.101609639474,110.46,187.83,4.11,6.5,2.68,2.45,966.5,306.41,-1.841947917043057,-7.649395524735576,-5.571030641,75.3,82.1,30.8,98.2,-0.304568528,2.406572286,-0.771719263,9.383047943,-0.77,9.38,0.11,3.1,316897731,2.89,1070.6,-2.367797948,-0.724217845,2.82,103.31,0.692007797,1.0
24,(주)네패스,33640,2015,-7.698392002789135,-43.41,-40.38558434257607,-7.592232197997447,-15.07706637499368,5.38,19.16931402131193,1.39,-5.85,2.7,-7.49,2.92,103.83,33.49,0.75,1.94,1.23,2.17,2.46,18.04088505348725,7.59,1.16,0.1,131.05,226.51,123.33,488.54,22.23,39.53,-0.7479628341107384,1690.9,971.89,67.34,28.33,53.21644576768612,38.81,91.57,78.69,40.56,-152.640215196462,183.66,157.7,16.7,20.8,10.22,13.02,12793.51,5481.55,1.089424227461031,-4.587332770454361,-28.46153846,85.5,91.0,35.7,103.3,1.573254671,3.440104128,25.6699288,2.386736911,25.67,2.39,0.02,3.5,358513845,1.67,1172.5,-5.217313218,-18.11283075,1.662,97.06,-4.015031646,1.0
25,(주)넥스턴바이오사이언스,89140,2022,44.12271895078219,0.0,-5.764760954040686,16.75633849430113,70.80890549620443,-14.75,19.38279720427828,-11.86,-16.17,-3.42,-4.66,-1.64,88.13,42.26,0.17,0.29,0.42,0.61,0.7,4.685280313377315,6.65,0.37,0.0,80.3,0.0,0.0,0.0,2.03,14.2,-0.1206662402917407,-34.09,457.35,303.15,14.02,176.647936665699,54.07,223.15,187.51,54.02,28.94345963014196,143.79,84.95,1.34,1.64,0.62,4.27,829.89,3239.93,-1.716882934532583,-2.341127781213455,163.6363636,109.3,108.8,49.4,90.0,-13.46153846,1.345043666,-34.30337232,-24.8937929,-34.3,-24.89,-0.35,3.0,399043064,3.98,1264.5,16.64187593,20.57393653,3.722,115.29,8.375634518,1.0
26,(주)넥스트아이,137940,2021,-11.52664640062649,0.0,-150.5403010410824,-12.41241116848416,-17.53495631149065,-61.06,12.60025874213153,-40.17,-73.79,-10.19,-16.35,5.23,161.09,41.35,0.18,0.25,0.66,0.27,0.28,4.914171562674004,4.08,0.19,0.0,-150.38,0.0,0.0,0.0,-7.6,-50.9,-0.2703022454056762,-102.89,1238.0,-4918.79,-38.93,-75.50413649308106,71.9,245.47,231.87,117.83,9.348077546464795,359.13,39.09,-28.24,-40.29,-7.94,-40.64,372.06,1247.64,-7.843761770155753,-14.4064869061768,-26.66666667,107.3,106.3,46.7,104.0,14.28571429,4.24876323,6.769789835,3.625579272,6.77,3.63,-0.02,3.4,438319248,1.29,1188.8,14.29,14.98767321,1.798,106.38,6.38,1.0
27,(주)넥스트엔터테인먼트월드,160550,2019,22.1495720269123,0.0,24.90909434498247,-5.594136741476433,-7.46962244814528,-20.88,18.97383134158975,-5.46,-7.43,-6.49,-7.52,1.25,105.21,10.35,0.52,1.19,0.94,1.0,1.01,418.5232378718677,5.7,0.52,0.0,68.47,0.0,0.0,0.0,4.6,20.0,-0.3972740231116444,-868.03,695.8,162.86,9.66,110.4506152195904,38.89,97.68,97.37,38.06,-13.28140721086797,172.21,157.11,-1.7,-3.19,-1.04,-2.19,5345.79,3947.95,-2.600770087966623,-3.538113032807359,0.546448087,98.0,101.2,37.6,102.0,4.081632653,2.677446185,-0.861393786,7.674023038,-0.86,7.67,0.12,3.5,397876077,1.53,1156.4,-3.353183692,0.831050228,1.36,100.46,0.0298715523,1.0
28,(주)넥스트칩,396270,2022,16.14,0.0,0.0,21.83,-47.41,0.0,24.45216596041399,-212.91,-213.14,-75.57,-75.66,-0.64,298.19,-190.46,0.31,0.35,2.39,0.34,0.52,1165.636310522531,7.33,0.31,0.0,-81.53,0.0,0.0,0.0,-28.43,-1041.03,-0.7567511927317986,-1963.2,352.09,-10994.76,-98.83,70.7790741574504,89.01,1243.01,771.31,39.38,41.26835736378892,374.09,12.35,-534.65,-1891.92,-58.76,-204.3,799.29,2447.7,-61.24010800184627,-61.30682967090183,163.6363636,109.3,108.8,49.4,90.0,-13.46153846,1.345043666,-34.30337232,-24.8937929,-34.3,-24.89,-0.35,3.0,399043064,3.98,1264.5,16.64187593,20.57393653,3.722,115.29,8.375634518,1.0
29,(주)넥슨게임즈,225570,2019,0.0,0.0,0.0,0.0,0.0,19.9,67.96643957240882,-60.04,-59.91,-60.23,-60.09,0.86,156.59,-79.63,0.56,1.0,1.25,0.75,0.75,3.983620154437494,4.55,0.62,0.22,52.93,0.0,0.0,0.0,35.41,171.41,4.359864649580774,-476.29,164.74,6062.51,90.64,18.90227624522896,52.3,478.25,478.25,79.68,0.0,0.0,91.2,-31.42,-81.24,-14.99,-38.36,1187.26,1551.66,-23.45568949582221,-23.40434194687462,0.546448087,98.0,101.2,37.6,102.0,4.081632653,2.677446185,-0.861393786,7.674023038,-0.86,7.67,0.12,3.5,397876077,1.53,1156.4,-3.353183692,0.831050228,1.36,100.46,0.0298715523,1.0
30,(주)넵튠,217270,2018,17.51727009526266,0.0,-215.0634944035796,-16.55153293407218,-11.46802120958962,-14.02,100.0,-101.08,-203.17,-24.29,-42.69,0.68,282.09,2.99,0.15,0.24,0.41,1.37,1.37,12853.07142857143,8.35,0.47,0.0,-273.32,0.0,0.0,0.0,-12.18,-1925.68,-1.72728046271285,-692.27,584.32,-6593.78,-86.84,-122.952333157179,53.09,31.76,31.76,12.38,-0.0028082385432252,0.0,88.37,-15.1,-21.79,-7.08,-50.5,940.04,4245.58,-14.17416988449549,-28.48961517658844,11.58536585,94.7,98.7,35.9,98.0,-12.57805531,3.240034708,-15.37661395,-17.2827429,-15.38,-17.28,-0.16,3.6,393332482,1.93,1115.7,0.747646299,5.893728704,1.817,100.43,1.876648407,1.0
