,회사명,거래소코드,회계년도,자본집약도,기계장비율,노동장비율,운전자본회전률,재고자산 대 순운전자본비율
6896,한국석유공업(주),4090,2014/12,0.6090811811649954,4878.008610373741,6516.817406177881,149.66498021286904,67.07888886201478
6897,한국석유공업(주),4090,2015/12,0.6176802670948908,4757.557277320992,5489.553916062347,154.56047814339016,67.56486436023607
6898,한국석유공업(주),4090,2016/12,0.6511432555584127,4918.037003609781,6276.353064906332,127.45258142229687,58.659113561971786
6899,한국석유공업(주),4090,2017/12,0.6709929296429255,4611.5440441105275,6342.59289930828,109.40850488364535,65.4055680750576
6900,한국석유공업(주),4090,2018/12,0.6384566324191859,4361.312181615467,6530.360905318513,110.084940700405,43.0551314929919
6901,한국석유공업(주),4090,2019/12,0.6033024517156167,3607.8700776824007,4607.614591755831,89.72452884772241,35.64674289025771
6902,한국석유공업(주),4090,2020/12,0.6538835825760444,3295.1807061605186,4464.430825658854,176.57981463274044,91.5747789620382
6903,한국석유공업(주),4090,2021/12,0.543997426910297,3348.751743078543,5043.261835976757,125.00925366294842,64.97603314315829
6904,한국석유공업(주),4090,2022/12,0.4640310528820281,3546.691690414055,4784.322482849758,312.6134994885322,119.7415852750118
6905,한국수출포장공업(주),2200,2012/12,1.034753538689664,7335.12526365862,11399.533066745144,68.83248991525288,38.07159869644378
6906,한국수출포장공업(주),2200,2013/12,1.1834201861263585,7521.705317940367,12041.102711319934,61.142720953238424,37.7889148340586
6907,한국수출포장공업(주),2200,2014/12,1.2634467602023765,7777.656256882345,11834.316314698995,67.89966178052474,42.22473398221912
6908,한국수출포장공업(주),2200,2015/12,1.3050445929569816,7174.921852198835,9860.134472915744,75.67271003556803,60.79447707103686
6909,한국수출포장공업(주),2200,2016/12,1.3128981803664268,6927.456196308019,10149.713261263234,87.76160252569645,64.90880918298615
6910,한국수출포장공업(주),2200,2017/12,1.2239630791557317,7376.780459105096,10595.394871420574,131.89688282818622,102.74255227030422
6911,한국수출포장공업(주),2200,2018/12,1.0664718433771845,7036.855594120374,8355.598364007205,64.62513761609236,44.82880620383746
6912,한국수출포장공업(주),2200,2019/12,1.1344911391230796,6786.96104969043,7608.667873550148,46.94140999863806,28.49487060938163
6913,한국수출포장공업(주),2200,2020/12,1.1671779664798965,6688.924642692599,7574.935734719959,43.334794994494544,22.53065258261552
6914,한국수출포장공업(주),2200,2021/12,1.0395420271826032,6145.875199719754,7697.795803349078,42.76392310726858,28.593351847963977
6915,한국수출포장공업(주),2200,2022/12,1.012011894924705,5785.199634847446,6977.144128672851,35.222984955363806,22.105728697513577
6916,한국쉘석유(주),2960,2012/12,0.4189808133962769,9.56216494203586,1047.9654543370889,39.40322997963566,47.7554179380376
6917,한국쉘석유(주),2960,2013/12,0.4977576355287965,9.69028169322892,1006.9779384890284,33.50172081214263,40.635819226028126
6918,한국쉘석유(주),2960,2014/12,0.4820808007250173,10.2301160720356,926.354508259614,32.120100922467046,33.42921273631339
6919,한국쉘석유(주),2960,2015/12,0.5653850464376122,9.7921453374406,991.4796527049313,28.17278217153103,27.724447227552503
6920,한국쉘석유(주),2960,2016/12,0.5830830615895064,10.7061267093058,1116.4311808042985,26.52990486623844,24.66430263574236
6921,한국쉘석유(주),2960,2017/12,0.6219704914418285,10.94539857290692,1222.6704121831085,26.165615969560346,30.96960092019519
6922,한국쉘석유(주),2960,2018/12,0.6580078598301753,13.80664350118041,1692.06622707394,29.339396175086637,33.70416653983177
6923,한국쉘석유(주),2960,2019/12,0.666121092000583,17.54647605115805,1900.8280216148487,30.895594420195792,31.89535788152354
6924,한국쉘석유(주),2960,2020/12,0.741796342702005,16.19800453046416,2319.246922394332,27.82794829366229,23.97395013868208
6925,한국쉘석유(주),2960,2021/12,0.6864944785963204,13.16915872747094,1652.6105144543078,28.13463153915845,31.78722514827911
6926,한국쉘석유(주),2960,2022/12,0.5713406631145796,12.75508476959217,1521.852558266727,34.68135905831944,43.84036982632922
