,거래소코드,year,Date,Name,Close,Marcap,Stocks,회계년도,회사명,산업코드,당기순이익,평균당기순이익,PER,ROE,ROE자본half,평균자본,업종PER,업종ROE,Label,연평균복리수익률,시총2,수익률,PBR,업종PBR,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),유통주식수 (발행주식의 총수 - 자기주식수),이익소각,자기주식수,보통주식비율
39,139480,2021,2021-12-30,이마트,151000,4209248.669,27875819,2021-12-01,(주)이마트,74700,1589074,725161,5.804571218,0.063341601,11448416,10444064.83,9.220984608,0.059219389,1,-0.099965834,4223186.579,-0.00330033,0.403027819,0.567215923,27875819,27788355,0,87464,28.56
40,50,2022,2022-12-29,경방,10800,296084.916,27415270,2022-12-01,(주)경방,74700,4415,13241,22.36122015,0.017570865,753577,747452.1667,9.86665361,0.049560798,1,-0.00932643,376959.9625,-0.214545455,0.396125571,0.423459252,27415270,24915270,0,2500000,60.6
41,4170,2022,2022-12-29,신세계,220000,2165939.82,9845181,2022-12-01,(주)신세계,74700,547640,289123,7.491413066,0.048130092,6007115,5567720.167,9.86665361,0.049560798,1,0.019475134,2500675.974,-0.133858268,0.389017364,0.423459252,9845181,9836407,0,8774,28.56
42,7070,2022,2022-12-29,GS리테일,28150,2947809.504,104717922,2022-12-01,(주)지에스리테일,74700,47610,334469.3333,8.813392471,0.075719839,4417195.5,3525038.5,9.86665361,0.049560798,0,0.049432521,3183424.829,-0.074013158,0.836248882,0.423459252,104717922,102180025,0,2537897,57.9
43,69960,2022,2022-12-29,현대백화점,59000,1380744.019,23402441,2022-12-01,(주)현대백화점,74700,186026,174824,7.897908863,0.030160636,5796429.5,5310392.833,9.86665361,0.049560798,1,-0.090154025,1757523.319,-0.214380826,0.260007887,0.423459252,23402441,21855186,0,1547255,36.08
44,139480,2022,2022-12-29,이마트,98000,2731830.262,27875819,2022-12-01,(주)이마트,74700,1007726,986457.6667,2.769333499,0.076222558,12941807.5,11580627.83,9.86665361,0.049560798,1,-0.099965834,4209248.669,-0.350993377,0.235896559,0.423459252,27875819,26788355,0,1087464,28.56
45,70,2014,2014-12-30,삼양홀딩스,89700,768215.1087,8564271,2014-12-01,(주)삼양홀딩스,137100,21004,41513.66667,18.50511339,0.025064106,1656299.5,1599067.833,14.60849918,0.086338013,1,-0.008587868,609516.689,0.260367636,0.480414334,1.195953092,8564271,7432019,0,1132252,44.11
46,320,2014,2014-12-30,노루홀딩스,25100,331285.1361,13198611,2014-12-01,(주)노루홀딩스,137100,37093,30664.33333,10.80359819,0.072811559,421146.5,391898.8333,14.60849918,0.086338013,1,-0.036669676,215797.2899,0.535168196,0.845333305,1.195953092,13198611,10142068,3524000,3056543,47.37
47,590,2014,2014-12-30,CS홀딩스,83500,96399.247,1154482,2014-12-01,CS홀딩스(주),137100,14362,11307.66667,8.525122808,0.052814884,214100,189025.5,14.60849918,0.086338013,1,0.071183656,41734.5243,1.309820194,0.509980119,1.195953092,1154482,1147321,0,7161,79.59
48,1040,2014,2014-12-30,CJ,156000,4537170.612,29084427,2014-12-01,씨제이(주),137100,508633,467166,9.71211649,0.052874287,8835410,8433985.833,14.60849918,0.086338013,1,-0.025752006,3383226.638,0.341077941,0.537962797,1.195953092,29084427,26112864,145741,2971563,43.36
