회사명,거래소코드,회계년도,[U01B800000000]계속영업이익(손실)(IFRS연결)(천원),[U01B350016400]   이자비용(IFRS연결)(천원),[U01B470010000]   이자비용(IFRS연결)(천원),[U01B550010000]   이자비용(IFRS연결)(천원),[U01B800000000]계속영업이익(손실)(IFRS)(천원),[U01B350016400]   이자비용(IFRS)(천원),[U01B470010000]   이자비용(IFRS)(천원),[U01B550010000]   이자비용(IFRS)(천원)
(주)윈하이텍,192390,2022/12,6291865,0,0,2158662,6447811,0,0,1749673
(주)윈하이텍,192390,2023/12,6536889,0,0,2831932,6380944,0,0,2243026
(주)윌링스,313760,2022/12,,,,,-13923340,0,0,598470
(주)윌비스,008600,2022/12,-9325313,0,0,6591940,5303162,0,0,4112021
(주)윙스풋,335870,2022/12,,,,,-16757091,0,0,685942
(주)유니드,014830,2022/12,121671347,0,0,9876676,112304092,0,0,7867797
(주)유니드,014830,2023/12,16264874,0,0,15104479,27872084,0,0,13142240
(주)유니드비티플러스,446070,2022/12,,,,,959502,0,0,15392
(주)유니드비티플러스,446070,2023/12,,,,,861667,0,0,358928
(주)유니온,000910,2022/12,-9138514,0,0,4277239,-9293495,0,0,1652118
(주)유니온커뮤니티,203450,2022/12,2155345,0,0,169692,2273584,0,0,169692
(주)유니온커뮤니티,203450,2023/12,3068889,0,0,280333,3026652,0,0,280333
(주)유니켐,011330,2022/12,1296442,0,0,6300278,3447674,0,0,5433966
(주)유니크,011320,2022/12,3546255,0,0,2014233,2830930,0,0,1967898
(주)유니크,011320,2023/12,6384162,0,0,3080522,6570813,0,0,3080522
(주)유니테스트,086390,2022/12,-6213811,0,0,649049,-4847948,0,0,270131
(주)유니테스트,086390,2023/12,6109495,0,0,1319369,10978047,0,0,865663
(주)유니테크노,241690,2022/12,4880315,0,0,572189,6465890,0,0,572189
(주)유니테크노,241690,2023/12,9119874,0,0,1519373,7853103,0,0,1519097
(주)유니트론텍,142210,2022/12,21202744,0,0,3290531,19498426,0,0,2939406
(주)유라테크,048430,2022/12,866467,0,0,46612,3360584,0,0,22794
(주)유라테크,048430,2023/12,17263250,0,0,86438,14073512,0,0,76359
(주)유바이오로직스,206650,2022/12,-3437380,0,253373,254916,-2280954,0,253373,215593
(주)유바이오로직스,206650,2023/12,-15359662,0,566811,488049,-13158594,0,566811,450743
(주)유비케어,032620,2022/12,4107191,0,0,379794,7194009,0,0,249564
(주)유비케어,032620,2023/12,193062,0,0,720445,4265001,0,0,275966
(주)유비쿼스,264450,2022/12,21485809,0,0,118165,21669740,0,0,118165
(주)유비쿼스홀딩스,078070,2022/12,26781129,0,0,75208,1963009,0,0,619
(주)유성티엔에스,024800,2022/12,55486725,0,0,5629496,11311492,0,0,5223772
(주)유수홀딩스,000700,2022/12,44118934,0,0,938317,26252036,0,0,165617
(주)유신,054930,2022/12,,,,,18323521,0,0,1126960
(주)유아이디,069330,2022/12,3769615,0,0,414623,3734493,0,0,258667
(주)유에스티,263770,2022/12,,,,,12529419,0,0,116444
(주)유에스티,263770,2023/12,,,,,11713553,0,0,700089
