회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원)
(주)경동나비엔,009450,2018/12,583595818,280103616,303492202,726741615,440513661,240355951,200157710,618058456
(주)경동나비엔,009450,2019/12,609808343,301042624,308765719,774290704,461607017,254559521,207047496,655419303
(주)경동나비엔,009450,2020/12,734688738,348163846,386524892,873409019,535511600,281450512,254061087,746324940
(주)경동나비엔,009450,2021/12,933884529,450415463,483469066,1102947010,667507445,360939060,306568386,951116272
(주)경동나비엔,009450,2022/12,1018019428,517704585,500314844,1160860789,716145017,407186699,308958319,979557978
(주)경동나비엔,009450,2023/12,1060557971,584595249,475962722,1204312872,745347513,442020547,303326966,995055168
(주)경동도시가스,267290,2018/12,778269612,320490074,457779539,1606531867,775880913,318760537,457120376,1605687067
(주)경동도시가스,267290,2019/12,749999474,339612043,410387431,1422707835,747453908,337701666,409752242,1421866212
(주)경동도시가스,267290,2020/12,699658165,356677691,342980474,1086830628,697182108,354868269,342313839,1086023402
(주)경동도시가스,267290,2021/12,904491766,375416487,529075279,1457154328,901837037,373660666,528176371,1456385933
(주)경동도시가스,267290,2022/12,1067615033,394988697,672626336,2304945010,1064615087,392521950,672093137,2304288140
(주)경동도시가스,267290,2023/12,951329118,420797886,530531232,1799453798,947568889,417808516,529760372,1798771417
(주)경동인베스트,012320,2018/12,592002536,397867310,194135226,228644016,318776653,310422538,8354115,7460898
(주)경동인베스트,012320,2019/12,605467383,414533638,190933746,271765025,316572482,308309156,8263326,8641051
(주)경동인베스트,012320,2020/12,589277835,430745334,158532501,310532988,306973265,305525940,1447325,7700621
(주)경동인베스트,012320,2021/12,577693061,439753088,137939974,298461109,306026123,304828029,1198093,8866143
(주)경동인베스트,012320,2022/12,586813598,450708398,136105200,275539562,296772228,295392476,1379752,11483708
(주)경방,000050,2018/12,1301792841,708769347,593023494,351438926,1226545382,729185709,497359673,279085217
