iter	Passed	Remaining
600	1303	865
601	1305	862
602	1307	860
603	1308	857
604	1309	855
605	1311	852
606	1313	850
607	1314	847
608	1315	844
609	1317	842
610	1319	840
611	1320	837
612	1322	834
613	1323	832
614	1324	829
615	1326	826
616	1327	824
617	1329	822
618	1331	819
619	1341	822
620	1342	819
621	1343	816
622	1345	814
623	1346	811
624	1348	808
625	1352	808
626	1360	809
627	1366	809
628	1370	808
629	1374	807
630	1377	805
631	1379	803
632	1382	801
633	1385	799
634	1387	797
635	1389	794
636	1390	792
637	1392	790
638	1393	787
639	1395	784
640	1397	782
641	1399	780
642	1402	778
643	1403	775
644	1405	773
645	1409	772
646	1416	773
647	1420	771
648	1423	770
649	1426	768
650	1430	766
651	1433	764
652	1435	762
653	1437	760
654	1439	758
655	1440	755
656	1442	753
657	1445	751
658	1447	748
659	1448	746
660	1450	743
661	1451	741
662	1453	738
663	1454	735
664	1455	733
665	1457	730
666	1458	728
667	1461	726
668	1463	723
669	1465	721
670	1470	720
671	1475	720
672	1480	719
673	1483	717
674	1486	715
675	1489	713
676	1492	711
677	1494	709
678	1496	707
679	1498	705
680	1500	702
681	1502	700
682	1504	698
683	1506	696
684	1509	694
685	1511	691
686	1512	689
687	1514	686
688	1515	684
689	1516	681
690	1518	679
691	1519	676
692	1521	673
693	1523	671
694	1530	671
695	1535	670
696	1541	670
697	1545	668
698	1547	666
699	1550	664
700	1552	662
701	1554	660
702	1557	657
703	1559	655
704	1561	653
705	1563	651
706	1565	648
707	1566	646
708	1568	643
709	1569	641
710	1571	638
711	1574	636
712	1577	634
713	1579	632
714	1582	630
715	1584	628
716	1585	625
717	1587	623
718	1589	621
719	1591	618
720	1592	616
721	1594	613
722	1595	611
723	1597	608
724	1598	606
725	1599	603
726	1601	601
727	1603	598
728	1604	596
729	1606	594
730	1607	591
731	1609	589
732	1610	586
733	1612	584
734	1613	581
735	1619	580
736	1626	580
737	1629	578
738	1634	577
739	1637	575
740	1640	573
741	1643	571
742	1645	569
743	1647	566
744	1651	565
745	1654	563
746	1656	560
747	1657	558
748	1659	556
749	1661	553
750	1662	551
751	1663	548
752	1666	546
753	1668	544
754	1669	541
755	1671	539
756	1672	536
757	1674	534
758	1675	532
