iter	Passed	Remaining
556	5458	4340
557	5464	4328
558	5481	4324
559	5493	4316
560	5502	4305
561	5509	4293
562	5517	4282
563	5523	4269
564	5531	4259
565	5539	4247
566	5549	4237
567	5555	4225
568	5561	4212
569	5568	4200
570	5585	4196
571	5598	4188
572	5607	4178
573	5615	4167
574	5621	4155
575	5627	4142
576	5647	4140
577	5659	4131
578	5669	4122
579	5676	4110
580	5684	4099
581	5690	4086
582	5699	4076
583	5704	4063
584	5711	4051
585	5718	4040
586	5724	4027
587	5731	4015
588	5737	4003
589	5744	3992
590	5750	3979
591	5756	3967
592	5777	3965
593	5787	3955
594	5795	3945
595	5802	3933
596	5808	3921
597	5814	3908
598	5822	3897
599	5831	3887
600	5837	3875
601	5843	3863
602	5849	3851
603	5855	3838
604	5864	3828
605	5870	3816
606	5884	3810
607	5902	3805
608	5913	3796
609	5920	3785
610	5928	3774
611	5938	3764
612	5957	3761
613	5969	3752
614	5979	3743
615	5986	3731
616	5993	3720
617	6011	3715
618	6024	3708
619	6032	3697
620	6040	3686
621	6046	3674
622	6052	3662
623	6058	3650
624	6064	3638
625	6070	3626
626	6076	3615
627	6082	3602
628	6088	3591
629	6094	3579
630	6113	3574
631	6127	3567
632	6136	3558
633	6144	3546
634	6150	3535
635	6156	3523
636	6162	3511
637	6168	3500
638	6175	3488
639	6180	3476
640	6200	3472
641	6211	3463
642	6221	3454
643	6227	3442
644	6234	3431
645	6240	3419
646	6246	3408
647	6255	3398
648	6262	3386
649	6271	3377
650	6277	3365
651	6284	3354
652	6290	3342
653	6296	3331
654	6314	3326
655	6326	3317
656	6334	3307
657	6341	3296
658	6348	3285
659	6354	3273
660	6360	3262
661	6367	3251
662	6378	3242
663	6400	3238
664	6410	3229
665	6419	3219
666	6426	3208
667	6432	3197
668	6438	3185
669	6444	3174
670	6451	3163
671	6456	3151
672	6463	3140
673	6479	3133
674	6493	3126
675	6503	3117
676	6514	3108
677	6523	3098
678	6530	3087
679	6536	3075
680	6542	3064
681	6551	3054
682	6568	3048
683	6580	3040
684	6588	3029
685	6596	3019
686	6603	3008
687	6610	2997
688	6616	2986
689	6621	2975
690	6630	2965
691	6636	2953
692	6644	2943
693	6652	2933
694	6661	2923
695	6667	2912
696	6675	2901
697	6685	2892
698	6695	2883
699	6701	2871
700	6707	2860
701	6713	2849
702	6720	2839
703	6729	2829
704	6735	2818
705	6743	2808
706	6749	2797
707	6757	2787
708	6764	2776
709	6770	2765
710	6778	2755
711	6784	2744
712	6791	2733
713	6798	2723
714	6808	2713
715	6814	2702
716	6820	2691
717	6839	2686
718	6849	2677
719	6858	2667
720	6865	2656
721	6872	2646
722	6891	2640
723	6903	2631
724	6913	2622
725	6924	2613
726	6931	2602
727	6938	2592
728	6943	2581
729	6949	2570
730	6958	2560
731	6964	2549
732	6972	2539
733	6979	2529
734	6985	2518
735	6991	2507
736	6997	2497
737	7016	2490
738	7028	2482
739	7038	2473
740	7046	2462
741	7053	2452
742	7059	2441
743	7068	2432
744	7075	2421
745	7093	2415
746	7106	2406
747	7115	2397
748	7122	2386
749	7128	2376
750	7138	2366
751	7144	2356
752	7163	2349
753	7174	2340
754	7183	2331
755	7190	2320
756	7203	2312
757	7213	2303
758	7221	2293
759	7229	2282
760	7237	2273
761	7244	2262
762	7251	2252
763	7258	2242
764	7267	2232
765	7274	2222
766	7283	2212
767	7290	2202
768	7300	2192
769	7306	2182
770	7314	2172
771	7321	2162
772	7327	2151
773	7352	2146
774	7365	2138
775	7374	2128
776	7382	2118
777	7389	2108
778	7399	2099
779	7418	2092
780	7431	2083
781	7439	2073
782	7447	2064
783	7453	2053
784	7459	2043
785	7465	2032
786	7471	2022
787	7478	2012
788	7485	2001
789	7493	1992
790	7500	1981
791	7507	1971
792	7516	1962
793	7523	1951
794	7544	1945
795	7555	1936
796	7564	1926
797	7570	1916
798	7578	1906
799	7585	1896
800	7604	1889
801	7618	1880
802	7630	1871
803	7637	1861
804	7645	1851
805	7651	1841
806	7657	1831
807	7663	1821
808	7669	1810
809	7676	1800
810	7682	1790
811	7691	1780
812	7700	1771
813	7708	1761
814	7725	1753
815	7736	1744
816	7748	1735
817	7757	1726
818	7763	1715
819	7770	1705
820	7777	1695
821	7783	1685
822	7790	1675
823	7808	1667
824	7818	1658
825	7828	1649
826	7835	1639
827	7844	1629
828	7850	1619
829	7857	1609
830	7862	1599
831	7868	1588
832	7888	1581
833	7898	1572
834	7906	1562
835	7913	1552
836	7921	1542
837	7927	1532
838	7944	1524
839	7958	1515
840	7967	1506
841	7975	1496
842	7981	1486
843	7992	1477
844	8009	1469
845	8021	1460
846	8029	1450
847	8037	1440
848	8043	1430
849	8049	1420
850	8056	1410
851	8062	1400
852	8069	1390
853	8075	1380
854	8082	1370
855	8088	1360
856	8106	1352
857	8118	1343
858	8126	1333
859	8135	1324
860	8142	1314
861	8149	1304
862	8157	1294
863	8165	1285
864	8172	1275
865	8179	1265
866	8186	1255
867	8193	1245
868	8204	1236
869	8210	1226
870	8218	1217
871	8224	1207
872	8232	1197
873	8238	1187
874	8244	1177
875	8251	1168
876	8258	1158
877	8266	1148
878	8273	1138
879	8281	1129
880	8288	1119
881	8296	1109
882	8303	1100
883	8309	1090
884	8327	1082
885	8359	1075
886	8369	1066
887	8377	1056
888	8385	1046
889	8392	1037
890	8408	1028
891	8422	1019
892	8431	1010
893	8439	1000
894	8447	991
895	8456	981
896	8463	971
897	8468	961
898	8476	952
899	8489	943
900	8503	934
901	8513	924
902	8520	915
903	8528	905
904	8536	896
905	8542	886
906	8564	878
907	8575	868
908	8583	859
909	8590	849
910	8604	840
911	8620	831
912	8630	822
913	8638	812
914	8645	803
915	8651	793
916	8658	783
917	8664	773
918	8669	764
919	8675	754
920	8681	744
921	8689	735
922	8695	725
923	8701	715
924	8711	706
925	8717	696
926	8735	687
927	8748	678
928	8757	669
929	8764	659
930	8771	650
931	8778	640
932	8783	630
933	8790	621
934	8798	611
935	8806	602
936	8812	592
937	8833	583
938	8844	574
939	8852	565
940	8859	555
941	8866	545
942	8873	536
943	8881	526
944	8891	517
945	8897	507
946	8904	498
947	8910	488
948	8918	479
949	8924	469
950	8933	460
951	8939	450
952	8945	441
953	8952	431
954	8961	422
955	8968	412
956	8975	403
957	8982	393
958	8987	384
959	8996	374
960	9004	365
961	9010	355
962	9017	346
963	9024	337
964	9031	327
965	9037	318
966	9043	308
967	9050	299
968	9057	289
969	9064	280
970	9070	270
971	9076	261
972	9083	252
973	9089	242
974	9097	233
975	9103	223
976	9109	214
977	9119	205
978	9128	195
979	9133	186
980	9141	177
981	9150	167
982	9157	158
983	9164	149
984	9170	139
985	9177	130
986	9185	120
987	9191	111
988	9211	102
989	9222	93
990	9231	83
991	9239	74
992	9246	65
993	9251	55
994	9258	46
995	9264	37
996	9270	27
997	9276	18
998	9282	9
999	9288	0
