,Ticker,Name,Precision_SVM
1188,109820,진매트릭스,0.55733945
17,290120,DH오토리드,0.55733945
404,218150,미래생명자원,0.55733945
97,57030,YBM넷,0.556930693
783,41910,에스텍파마,0.556623932
1458,373200,하인크코리아,0.556372549
63,61970,LB세미콘,0.556306306
744,205500,액션스퀘어,0.556270997
1305,54780,키이스트,0.555882353
797,96690,에이루트,0.555825243
1404,321260,프로이천,0.555769231
1037,72770,율호,0.555454545
831,73540,에프알텍,0.555093555
1538,84110,휴온스글로벌,0.554761905
1172,263860,지니언스,0.554230769
145,35460,기산텔레콤,0.554195804
167,253590,네오셈,0.554123711
868,73110,엘엠에스,0.553801546
151,39860,나노엔텍,0.553617571
340,277810,레인보우로보틱스,0.553611318
772,56190,에스에프에이,0.553002451
103,399720,가온칩스,0.5525
823,38870,에코바이오,0.552083333
1155,80220,제주반도체,0.551980198
921,131030,옵투스제약,0.551851852
1532,115160,휴맥스,0.551816239
362,305090,마이크로디지탈,0.551801802
573,49180,셀루메드,0.551801802
981,196700,웹스,0.55
900,65500,오리엔트정공,0.55
1479,32300,한국파마,0.549917492
953,101170,우림피티에스,0.549649123
92,32540,TJ미디어,0.549514563
478,357880,비트나인,0.549494949
1422,31980,피에스케이홀딩스,0.549189815
1192,7370,진양제약,0.549092409
657,359090,씨엔알리서치,0.549065421
1213,78340,컴투스,0.549065421
1380,251970,펌텍코리아,0.548538012
1168,228760,지노믹트리,0.548165138
600,99440,스맥,0.548165138
1141,137950,제이씨케미칼,0.547979798
994,299900,위지윅스튜디오,0.547794118
211,68240,다원시스,0.547752809
692,214430,아이쓰리시스템,0.547297297
1276,282880,코윈테크,0.547278912
294,263690,디알젬,0.547029703
318,131180,딜리,0.546938776
1146,126880,제이엔케이히터,0.546780303
1293,16600,큐캐피탈,0.545900178
374,235980,메드팩토,0.545238095
1375,225590,패션플랫폼,0.545072788
608,13810,스페코,0.543814433
792,58610,에스피지,0.54378858
951,37400,우리엔터프라이즈,0.542792793
536,189860,서전기전,0.542592593
1219,221980,케이디켐,0.542592593
264,5160,동국산업,0.542585784
1018,54930,유신,0.542424242
1493,24740,한일단조,0.542200855
907,226400,오스테오닉,0.541136364
37,115450,HLB테라퓨틱스,0.541136364
1263,9730,코센,0.540816327
411,201490,미투온,0.54047619
425,32980,바이온,0.540425532
730,61040,알에프텍,0.540016502
1371,140860,파크시스템스,0.539859694
1053,264850,이랜시스,0.538990826
212,20400,대동금속,0.538990826
896,39830,오로라,0.538990826
469,86670,비엠티,0.538732394
1382,87010,펩트론,0.538659794
1045,73490,이노와이어리스,0.538337629
275,88910,동우팜투테이블,0.537878788
240,140520,대창스틸,0.537349398
828,247540,에코프로비엠,0.537200504
99,51390,YW,0.537128713
995,36090,위지트,0.536734694
1134,147830,제룡산업,0.536666667
677,36010,아비코전자,0.536552649
1233,39420,케이엘넷,0.536407767
142,53260,금강철강,0.536175711
1026,23410,유진기업,0.535046729
176,306620,네온테크,0.535040431
1199,66360,체리부로,0.53440367
361,377480,마음AI,0.533739837
1068,123570,이엠넷,0.533574879
1208,71850,캐스텍코리아,0.533564815
1395,94940,푸른기술,0.533333333
87,48550,SM C&C,0.533333333
242,10170,대한광통신,0.533018868
399,118990,모트렉스,0.532616753
865,96870,엘디티,0.532563025
214,48470,대동스틸,0.532169118
1180,53050,지에스이,0.531194296
35,24850,HLB이노베이션,0.531194296
95,246690,TS인베스트먼트,0.530952381
1452,13030,하이록코리아,0.530821918
369,100590,머큐리,0.530357143
911,80580,오킨스전자,0.530097087
717,13310,아진산업,0.53
266,86450,동국제약,0.529816514
658,115530,씨엔플러스,0.529787234
708,52460,아이크래프트,0.529279279
1526,290270,휴네시온,0.529279279
1082,1840,이화공영,0.529279279
611,20710,시공테크,0.529279279
827,86520,에코프로,0.529251701
562,100700,세운메디칼,0.529251701
31,195940,HK이노엔,0.529140014
1229,73010,케이에스피,0.528947368
780,306040,에스제이그룹,0.528703704
1287,40350,큐로컴,0.528703704
39,403870,HPSP,0.528508772
288,60570,드림어스컴퍼니,0.528028351
935,251370,와이엠티,0.527956989
524,38070,서린바이오,0.527777778
1243,54410,케이피티유,0.526190476
1111,94820,일진파워,0.525606469
370,67280,멀티캠퍼스,0.525106838
1200,47820,초록뱀미디어,0.524886878
1100,64290,인텍플러스,0.524074074
671,357580,아모센스,0.5234375
964,104830,원익머트리얼즈,0.52294686
718,59120,아진엑스텍,0.522727273
120,215000,골프존,0.522307692
203,270870,뉴트리,0.521428571
464,141000,비아트론,0.521390374
492,9620,삼보산업,0.521390374
962,240810,원익IPS,0.521301498
470,335890,비올,0.520833333
785,39440,에스티아이,0.52027027
594,50960,수산아이앤티,0.52027027
652,352480,씨앤씨인터내셔널,0.520180723
1341,43220,티에스넥스젠,0.519444444
8,35760,CJ ENM,0.519316909
343,108490,로보티즈,0.519203414
94,48770,TPC,0.519047619
1466,17890,한국알콜,0.518756999
124,29480,광무,0.518707483
115,348150,고바이오랩,0.51863354
980,43590,웰킵스하이텍,0.51814346
156,242040,나무기술,0.518125553
766,101490,에스앤에스텍,0.518123306
1504,59270,해성티피씨,0.517073171
334,38390,레드캡투어,0.516955267
702,123010,아이윈플러스,0.516666667
1497,54920,한컴위드,0.516488414
168,212560,네오오토,0.51579626
1062,86890,이수앱지스,0.515322581
50,21320,KCC건설,0.515264026
125,26910,광진실업,0.515264026
519,42600,새로닉스,0.51474359
1346,356860,티엘비,0.514735772
1246,89010,켐트로닉스,0.513961281
