,Feature,Correlation,T-test,Lasso Importance,Ridge Importance,RF Importance
65,SMA_60,0.014230669053360331,0.49086263134819774,0.0,0.0003542711353929917,0.005587932493901171
66,RSI,0.014143081164561113,0.4935353288133679,0.0,0.00029543586694558144,0.0054301258837920535
67,SMA_240,0.013690950631746803,0.5074547999385828,0.0,0.0002736799324907224,0.005368144005857532
68,RSI_Signal_등락률,0.013305739060310661,0.5194746125437878,0.0,0.00011736930036931881,0.005325795618234407
69,EMA_60_minus_EMA_240,0.012428629692514077,0.5473807734649643,0.0,0.00011060416716190957,0.005306196114929113
70,저가_등락률,0.011583786280785336,0.5749430555095534,0.0,5.883526841898856e-05,0.0048980630523028515
71,저가_대비_고가_등락률,0.010029107014844722,0.6273086816584285,0.0,5.853403155242631e-05,0.004892723442540534
72,시가_대비_종가_등락률,0.009165292696776735,0.6572605924145023,0.0,5.1768898785553574e-05,0.004601892284497795
73,EMA_120_minus_EMA_240,0.006795499978227199,0.7421768644120417,0.0,4.672127388971603e-05,0.00428595057777243
74,SMA_120_minus_SMA_240,0.0041962132741339905,0.8390268872047923,0.0,3.946276950728134e-05,0.004050645871500467
75,SMA_60_minus_SMA_240,0.0031485512746312985,0.8788550267696338,0.0,3.815815495045172e-05,0.003295919985055381
76,MACD_minus_Signal_Binary,0.0016476183409297913,0.9364275173423453,0.0,6.982856575632468e-06,0.0008228345603191829
77,거래량_등락률,0.0010719808660201169,0.9586129176110443,0.0,6.765133036878979e-06,0.0006027861251053695
78,SMA_60_minus_SMA_120,0.0007818770048082691,0.9698069237948196,0.0,4.377216100692749e-08,0.00022849597246521223
