날짜,시가,고가,저가,종가,"MA_종가,단순,5","MA_종가,단순,20","MA_종가,단순,60","MA_종가,단순,120","MA_종가,단순,240",프로그램순매수(종목),누적,
2023-11-10,418500 ,422000 ,411000 ,411000 ,442800 ,428625 ,483650 ,524675 ,529506 ,41913 ,5941317 ,
2023-11-09,439000 ,447000 ,426500 ,429000 ,441000 ,432275 ,486067 ,525750 ,530181 ,-16429 ,5899404 ,
2023-11-08,446000 ,459500 ,437500 ,437500 ,433500 ,435500 ,488133 ,526717 ,530885 ,22181 ,5915833 ,
2023-11-07,488500 ,488500 ,440500 ,443000 ,421500 ,438225 ,489592 ,527629 ,531550 ,-66884 ,5893652 ,
2023-11-06,451500 ,500000 ,435000 ,493500 ,410000 ,439000 ,490775 ,528546 ,532204 ,257240 ,5960536 ,
2023-11-03,402500 ,404500 ,396500 ,402000 ,392300 ,437525 ,491550 ,529150 ,532631 ,-7632 ,5703296 ,
2023-11-02,383500 ,394000 ,380000 ,391500 ,391900 ,440800 ,493900 ,530492 ,533473 ,-20626 ,5710928 ,
2023-11-01,389500 ,391500 ,375500 ,377500 ,393500 ,444025 ,496442 ,531879 ,534442 ,10557 ,5731554 ,
2023-10-31,404500 ,404500 ,382500 ,385500 ,399900 ,448975 ,499433 ,533433 ,535390 ,41081 ,5720997 ,
2023-10-30,397000 ,413000 ,397000 ,405000 ,412500 ,453475 ,502342 ,534946 ,536279 ,30869 ,5679916 ,
2023-10-27,399500 ,411000 ,396500 ,400000 ,418800 ,457025 ,504625 ,536496 ,537042 ,-26221 ,5649047 ,
2023-10-26,398000 ,407000 ,395000 ,399500 ,426100 ,461575 ,506958 ,538004 ,537821 ,4879 ,5675268 ,
2023-10-25,449000 ,449500 ,409000 ,409500 ,436700 ,465950 ,509967 ,539567 ,538623 ,-313002 ,5670389 ,
2023-10-24,439500 ,449000 ,423000 ,448500 ,447800 ,470450 ,513042 ,540879 ,539371 ,-43018 ,5983391 ,
2023-10-23,438000 ,442500 ,430500 ,436500 ,453100 ,472850 ,515517 ,541733 ,539873 ,-39086 ,6026409 ,
2023-10-20,445500 ,446000 ,435500 ,436500 ,460600 ,476375 ,517725 ,542813 ,540400 ,-69773 ,6065495 ,
2023-10-19,455500 ,457000 ,450000 ,452500 ,470100 ,480250 ,519717 ,543942 ,540781 ,-11786 ,6135268 ,
2023-10-18,471500 ,472500 ,462000 ,465000 ,478300 ,483025 ,521508 ,545004 ,541113 ,4983 ,6147054 ,
2023-10-17,479500 ,482500 ,474000 ,475000 ,483700 ,484500 ,522908 ,545979 ,541425 ,-21013 ,6142071 ,
2023-10-16,479500 ,481500 ,471500 ,474000 ,480400 ,485725 ,523958 ,546954 ,541650 ,-17814 ,6163084 ,
2023-10-13,490000 ,490000 ,480000 ,484000 ,478400 ,487425 ,525092 ,547929 ,541804 ,-10603 ,6180898 ,
2023-10-12,494000 ,501000 ,490000 ,493500 ,475100 ,488675 ,526058 ,548846 ,541908 ,-4015 ,6191501 ,
2023-10-11,464500 ,496500 ,464500 ,492000 ,467600 ,489850 ,526733 ,549725 ,541931 ,-12325 ,6195516 ,
2023-10-10,467500 ,473000 ,458000 ,458500 ,464500 ,491600 ,527700 ,550542 ,541944 ,-26943 ,6207841 ,
2023-10-06,468000 ,476500 ,462500 ,464000 ,467900 ,495475 ,529225 ,551804 ,542106 ,-932 ,6234784 ,
2023-10-05,468500 ,477000 ,463000 ,467500 ,470300 ,498775 ,530858 ,552904 ,542210 ,44011 ,6235716 ,
2023-10-04,467000 ,471500 ,455500 ,456000 ,475000 ,501500 ,532483 ,553842 ,542310 ,4051 ,6191705 ,
2023-09-27,469500 ,476500 ,466500 ,476500 ,481200 ,505900 ,534333 ,554875 ,542423 ,14403 ,6187654 ,
2023-09-26,471500 ,479000 ,468500 ,475500 ,485800 ,509725 ,535875 ,555804 ,542425 ,39615 ,6173251 ,
2023-09-25,491500 ,491500 ,461500 ,476000 ,490000 ,513550 ,537500 ,556633 ,542456 ,-12707 ,6133636 ,
2023-09-22,479000 ,495000 ,478500 ,491000 ,496200 ,517400 ,538783 ,557550 ,542546 ,-15936 ,6146343 ,
2023-09-21,497000 ,497500 ,486000 ,487000 ,500800 ,520150 ,539767 ,558325 ,542510 ,-60815 ,6162279 ,
2023-09-20,495000 ,502000 ,494000 ,499500 ,505000 ,522550 ,540767 ,559167 ,542473 ,-35884 ,6223094 ,
2023-09-19,508000 ,511000 ,496000 ,496500 ,504000 ,523825 ,541792 ,559863 ,542346 ,-47007 ,6258978 ,
2023-09-18,513000 ,514000 ,505000 ,507000 ,504600 ,525950 ,542917 ,560533 ,542129 ,-50996 ,6305985 ,
2023-09-15,506000 ,521000 ,504000 ,514000 ,504800 ,526900 ,543850 ,561092 ,541794 ,-33730 ,6356981 ,
2023-09-14,496500 ,511000 ,495000 ,508000 ,503800 ,527650 ,544767 ,561550 ,541485 ,-18340 ,6390711 ,
2023-09-13,491000 ,502000 ,490000 ,494500 ,505600 ,529250 ,545600 ,562108 ,541175 ,7043 ,6409051 ,
2023-09-12,513000 ,516000 ,499500 ,499500 ,512100 ,530825 ,546708 ,562763 ,540965 ,-70205 ,6402008 ,
2023-09-11,512000 ,512000 ,505000 ,508000 ,519400 ,532950 ,547733 ,563150 ,540744 ,-14386 ,6472213 ,
2023-09-08,520000 ,521000 ,505000 ,509000 ,523800 ,534900 ,549067 ,563450 ,540546 ,-74118 ,6486599 ,
2023-09-07,523000 ,529000 ,514000 ,517000 ,526400 ,537250 ,550333 ,563817 ,540460 ,16818 ,6560717 ,
2023-09-06,537000 ,540000 ,526000 ,527000 ,531800 ,539050 ,551533 ,564308 ,540304 ,26236 ,6543899 ,
2023-09-05,528000 ,537000 ,528000 ,536000 ,537000 ,538950 ,552867 ,564625 ,540123 ,29700 ,6517663 ,
2023-09-04,522000 ,531000 ,520000 ,530000 ,540200 ,537850 ,554133 ,564725 ,539879 ,29279 ,6487963 ,
2023-09-01,544000 ,544000 ,520000 ,522000 ,544800 ,538350 ,555450 ,565000 ,539779 ,-176929 ,6458684 ,
2023-08-31,554000 ,554000 ,543000 ,544000 ,549600 ,539400 ,556600 ,565242 ,539733 ,-26386 ,6635613 ,
2023-08-30,557000 ,558000 ,550000 ,553000 ,547800 ,539400 ,557600 ,565283 ,539544 ,37548 ,6661999 ,
2023-08-29,554000 ,555000 ,546000 ,552000 ,542200 ,539600 ,558283 ,565358 ,539310 ,36322 ,6624451 ,
2023-08-28,550000 ,553000 ,542000 ,553000 ,539600 ,540000 ,558883 ,565475 ,539038 ,40091 ,6588129 ,
2023-08-25,527000 ,549000 ,525000 ,546000 ,534200 ,539450 ,559400 ,565425 ,538767 ,57032 ,6548038 ,
2023-08-24,532000 ,537000 ,523000 ,535000 ,530800 ,539150 ,560283 ,565358 ,538506 ,-3975 ,6491006 ,
2023-08-23,535000 ,538000 ,525000 ,525000 ,531800 ,541400 ,561033 ,565358 ,538290 ,-36649 ,6494981 ,
2023-08-22,531000 ,542000 ,531000 ,539000 ,532000 ,544850 ,561917 ,565342 ,538110 ,44629 ,6531630 ,
2023-08-21,530000 ,534000 ,522000 ,526000 ,532600 ,547750 ,562650 ,565083 ,537794 ,27595 ,6487001 ,
2023-08-18,534000 ,538000 ,525000 ,529000 ,536800 ,549900 ,563633 ,564958 ,537529 ,-21276 ,6459406 ,
2023-08-17,522000 ,543000 ,522000 ,540000 ,542200 ,551250 ,564383 ,564775 ,537265 ,-12936 ,6480682 ,
