,Feature,Correlation,T-test,Lasso Importance,Ridge Importance,RF Importance
66,MACD_등락률,0.009581456883609403,0.6914709987160823,0.0,6.225434344742098e-05,0.005396522151434317
67,SMA_60,0.009557039017107897,0.6922170349311161,0.0,5.480782050426569e-05,0.005378289562664872
68,고가_등락률,0.007475956245103358,0.7568286987573295,0.0,5.0671821327341604e-05,0.004964778805506164
69,EMA_5_minus_EMA_240,0.005453295530362478,0.8213029029209016,0.0,4.4332599827612285e-05,0.0049592340081345675
70,EMA_240_등락률,0.005430862574753628,0.8220256708559818,0.0,4.422861093189567e-05,0.004858294868162835
71,종가_minus_SMA_240,0.003939433407424325,0.8703873947091386,0.0,4.073989461517158e-05,0.004784869150984567
72,EMA_20_minus_EMA_120,0.003923102234736401,0.8709199940172936,0.0,2.2714159968018066e-05,0.004732352307607446
73,MACD_minus_Signal_Binary,0.003553140489576983,0.8830005591179814,0.0,2.2102994080341887e-05,0.0045961303089265305
74,SMA_120_등락률,0.003240854141461568,0.8932191383480522,0.0,2.151445323761436e-05,0.004216177957022614
75,종가_minus_EMA_240,0.0015204565049697853,0.949786244910544,0.0,1.8025735698756762e-05,0.0010637026661279255
76,SMA_20_minus_SMA_120,0.0013419547123708043,0.9556748801316197,0.0,1.0918482985289302e-05,0.0008486348451504496
77,시가_대비_저가_등락률,0.000625677248220637,0.9793253945878319,0.0,6.065238267183304e-08,0.0002521665719571604
