날짜,시가,고가,저가,종가,거래량,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,시가_등락률,고가_등락률,저가_등락률,종가_등락률,거래량_등락률,MACD_등락률,MACD_Signal_등락률,RSI_등락률,RSI_Signal_등락률,SMA_5_등락률,SMA_20_등락률,SMA_60_등락률,SMA_120_등락률,SMA_240_등락률,EMA_5_등락률,EMA_20_등락률,EMA_60_등락률,EMA_120_등락률,EMA_240_등락률,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary,시가_대비_종가_등락률,시가_대비_저가_등락률,시가_대비_고가_등락률,저가_대비_종가_등락률,저가_대비_고가_등락률,고가_대비_종가_등락률,종가_minus_SMA_5,종가_minus_SMA_20,종가_minus_SMA_60,종가_minus_SMA_120,종가_minus_SMA_240,종가_minus_EMA_5,종가_minus_EMA_20,종가_minus_EMA_60,종가_minus_EMA_120,종가_minus_EMA_240,[일]사모펀드_수량,[일]기타법인_수량,[일]국가지자체_수량,[일]연기금 등_수량,[일]기타금융_수량,[일]은행_수량,[일]투신_수량,[일]보험_수량,[일]금융투자_수량,[일]기관_수량,[일]외국인_수량,[일]개인_수량,[일]프로그램순매수(종목)
2024-01-29,135500,137000,135000,135000,2311854,706.8913818,965.3252399,46.25,48.87017087,138140,136905,133911.6667,126715.8333,112890.8333,137065.6261,137015.642,133355.3535,127125.6146,118115.4375,1235,4228.333333,11424.16667,25249.16667,2993.333333,10189.16667,24014.16667,7195.833333,21020.83333,13825,49.98408029,3710.272603,9940.011451,18950.18862,3660.288523,9890.027371,18900.20454,6229.738848,15239.91601,9010.177166,-0.513950073,-1.154401154,-0.735294118,-0.735294118,-28.80929726,-29.35248302,-6.273070224,-7.5,-1.322644911,-1.088357439,-0.236828682,0.183291771,0.065148723,0.163403525,-0.747881762,-0.154613583,0.041823628,0.104212301,0.119766421,1,0,0,-0.36900369,-0.36900369,1.10701107,0,1.481481481,-1.459854015,-3140,-1905,1088.333333,8284.166667,22109.16667,-2065.626079,-2015.641998,1644.646525,7874.385373,16884.56254,"-98,508","20,084",0,"-168,476",1,0,"-75,949","7,511","-48,469","-383,890","-107,949","461,226","86,726"
2024-01-30,135300,137800,134400,136900,2297631,620.2975107,896.3196941,55.66666667,50.22947003,137360,136630,134105,126860.8333,113065.8333,137010.4174,137004.6285,133471.5714,127287.1747,118271.3259,730,3255,10499.16667,24294.16667,2525,9769.166667,23564.16667,7244.166667,21039.16667,13795,5.788911054,3538.845992,9723.242669,18739.09144,3533.057081,9717.453758,18733.30253,6184.396678,15200.24545,9015.848769,-0.147601476,0.583941606,-0.444444444,1.407407407,-0.615220511,-12.24995427,-7.148424488,20.36036036,2.781449575,-0.564644563,-0.200869216,0.144373779,0.114429268,0.155017015,-0.040279021,-0.008038151,0.087149046,0.127086968,0.131979773,1,0,1,1.18255728,-0.66518847,1.84774575,1.860119048,2.529761905,-0.653120464,-460,270,2795,10039.16667,23834.16667,-110.4173858,-104.6284747,3428.428606,9612.825284,18628.67405,"73,399","5,185",0,"-27,515","4,126","4,246","-36,272","-16,282","119,578","121,280","-77,035","-47,521","6,747"
2024-01-31,134800,136600,133600,134700,2815362,369.8858168,791.0329186,47.81144781,49.74586558,136000,136525,134253.3333,126983.3333,113233.75,136240.2783,136785.14,133511.8477,127409.7008,118407.6635,-525,1746.666667,9016.666667,22766.25,2271.666667,9541.666667,23291.25,7270,21019.58333,13749.58333,-544.8617914,2728.430515,8830.577503,17832.61477,3273.292307,9375.439295,18377.47656,6102.146988,15104.18425,9002.037263,-0.36954915,-0.870827286,-0.595238095,-1.607012418,22.53325273,-40.36961129,-11.746565,-14.1111716,-0.962790256,-0.99009901,-0.076849887,0.110609846,0.096562506,0.148512297,-0.562102607,-0.160205118,0.030175975,0.096259531,0.115275231,1,0,0,-0.074183976,-0.890207715,1.335311573,0.823353293,2.245508982,-1.390922401,-1300,-1825,446.6666667,7716.666667,21466.25,-1540.278257,-2085.140049,1188.152258,7290.299246,16292.33651,"110,652","8,713",0,"-151,057","-7,301",712,"-40,914","-41,260","-6,508","-135,676","-36,409","161,736","-48,882"
2024-02-01,133100,135600,131700,132700,3778274,9.934936148,634.8133221,47.65100671,49.32689381,135060,136340,134248.3333,127088.3333,113397.0833,135060.1855,136396.0791,133485.2298,127497.1437,118526.2721,-1280,811.6666667,7971.666667,21662.91667,2091.666667,9251.666667,22942.91667,7160,20851.25,13691.25,-1335.893587,1574.955722,7563.041788,16533.91341,2910.849308,8898.935375,17869.807,5988.086066,14958.95769,8970.871624,-1.261127596,-0.732064422,-1.422155689,-1.484780995,34.20206709,-97.31405323,-19.74881106,-0.33557047,-0.842224313,-0.691176471,-0.135506318,-0.003724302,0.082688017,0.144244391,-0.866184925,-0.284432181,-0.019936777,0.068631323,0.1001697,1,0,0,-0.30052592,-1.051840721,1.878287002,0.759301443,2.961275626,-2.138643068,-2360,-3640,-1548.333333,5611.666667,19302.91667,-2360.185505,-3696.079092,-785.2297832,5202.856283,14173.72791,"-25,707","15,387",0,"-200,982","-1,217","29,207","-102,136","-53,628","90,184","-264,279","-652,696","897,618","-107,396"
2024-02-02,132300,135300,132200,134900,3708253,-96.69250522,488.5121567,51.25,49.71151505,134840,136210,134323.3333,127196.6667,113581.6667,135006.7903,136253.5954,133531.6157,127619.505,118662.1537,-1370,516.6666667,7643.333333,21258.33333,1886.666667,9013.333333,22628.33333,7126.666667,20741.66667,13615,-1246.805032,1475.174645,7387.285359,16344.63668,2721.979677,8634.090391,17591.44172,5912.110714,14869.46204,8957.351326,-0.601051841,-0.221238938,0.379650721,1.657874906,-1.853253629,-1073.25744,-23.0463288,7.552816901,0.779739425,-0.162890567,-0.095349861,0.055866615,0.085242548,0.162776086,-0.039534351,-0.10446321,0.034749844,0.095971766,0.114642566,0,0,1,1.965230537,-0.07558579,2.267573696,2.042360061,2.344931921,-0.29563932,60,-1310,576.6666667,7703.333333,21318.33333,-106.7903365,-1353.595369,1368.384308,7280.495022,16237.84635,"83,281","10,964",0,"-61,822",-488,"8,694","39,012","8,852","178,398","255,927","-314,286","46,722","221,710"
2024-02-05,134900,135800,131700,132300,3300954,-386.5380219,313.502121,50.30674847,49.83056173,134300,136025,134401.6667,127310.8333,113743.75,134104.5269,135877.0625,133491.2348,127696.8685,118775.3308,-1725,-101.6666667,6989.166667,20556.25,1623.333333,8714.166667,22281.25,7090.833333,20657.91667,13567.08333,-1772.535585,613.2920415,6407.658359,15329.19609,2385.827627,8180.193945,17101.73168,5794.366318,14715.90405,8921.537732,1.965230537,0.36954915,-0.378214826,-1.927353595,-10.98358176,299.7600652,-35.82511373,-1.840490798,0.239475066,-0.400474637,-0.13581969,0.058316996,0.089756021,0.142702021,-0.668309678,-0.276347124,-0.03024066,0.060620478,0.095377629,0,0,1,-1.927353595,-2.372127502,0.66716086,0.455580866,3.113135915,-2.577319588,-2000,-3725,-2101.666667,4989.166667,18556.25,-1804.526891,-3577.062476,-1191.23485,4603.131468,13524.6692,"-46,297","-5,815",0,"-11,298",-504,"7,820","35,012","-18,708","-585,748","-619,723","179,042","441,158","-178,776"
2024-02-06,133700,138400,132000,138000,4672324,-154.5191188,219.897873,59.40860215,51.74616982,134520,136055,134568.3333,127473.3333,113936.6667,135403.0179,136079.247,133639.0632,127867.1682,118934.8716,-1535,-48.33333333,7046.666667,20583.33333,1486.666667,8581.666667,22118.33333,7095,20631.66667,13536.66667,-676.229075,1763.954712,7535.849702,16468.1463,2440.183787,8212.078777,17144.37538,5771.89499,14704.19159,8932.296602,-0.889547813,1.914580265,0.227790433,4.308390023,41.54465648,-60.02485913,-29.85761234,18.09270915,3.844243406,0.16381236,0.022054769,0.124006399,0.127640355,0.169606389,0.968267863,0.1487996,0.110740129,0.133362467,0.134321515,0,0,1,3.216155572,-1.271503366,3.515332835,4.545454545,4.848484848,-0.289017341,3480,1945,3431.666667,10526.66667,24063.33333,2596.982073,1920.752998,4360.936785,10132.83177,19065.12838,"56,235","-37,461",0,"-3,979",285,904,"43,128","-5,961","-110,232","-19,620","687,397","-615,752","557,513"
2024-02-07,136600,138500,135500,138000,3348045,29.02297478,181.7228934,52.8125,51.95943585,135180,136280,134693.3333,127635.8333,114124.5833,136268.6786,136262.1759,133782.0447,128034.653,119093.0885,-1100,486.6666667,7544.166667,21055.41667,1586.666667,8644.166667,22155.41667,7057.5,20568.75,13511.25,6.502758944,2486.633869,8234.02557,17175.59016,2480.13111,8227.522811,17169.0874,5747.391701,14688.95629,8941.564592,2.169035153,0.072254335,2.651515152,0,-28.34304727,-118.7827727,-17.36032237,-11.10294118,0.412138788,0.490633363,0.165374297,0.09288961,0.127477642,0.16493081,0.639321563,0.134428181,0.106990823,0.130983446,0.133028128,1,0,1,1.02489019,-0.805270864,1.390922401,1.84501845,2.21402214,-0.36101083,2820,1720,3306.666667,10364.16667,23875.41667,1731.321382,1737.824141,4217.955251,9965.346952,18906.91154,"-45,736","-9,808",0,"34,315",-276,-1,"-7,450","-19,386","227,222","188,688","30,016","-206,132","-302,923"
2024-02-08,139000,143000,137900,142800,5780714,555.3989971,256.4581141,52.3659306,52.0407348,137200,136620,134876.6667,127865,114336.25,138445.7857,136884.8258,134077.7154,128278.7084,119289.8263,580,2323.333333,9335,22863.75,1743.333333,8755,22283.75,7011.666667,20540.41667,13528.75,1560.959968,4368.070332,10167.07738,19155.95943,2807.110364,8606.117408,17594.99947,5799.007043,14787.8891,8988.882058,1.756954612,3.249097473,1.771217712,3.47826087,72.65938779,1813.652895,41.12592495,-0.845575196,0.15646619,1.494303891,0.249486352,0.136111661,0.17954728,0.185469826,1.597657767,0.456949931,0.221009228,0.190616615,0.165196703,1,1,1,2.73381295,-0.791366906,2.877697842,3.553299492,3.698332125,-0.13986014,5600,6180,7923.333333,14935,28463.75,4354.214255,5915.174223,8722.284587,14521.29163,23510.17369,"135,595","-36,733",0,"149,845","-1,919","11,443","43,756","25,612","-221,115","143,217","1,833,612","-1,935,395","1,424,247"
2024-02-13,146800,150000,145000,150000,6902585,1535.831505,512.3327922,59.84042553,53.60067295,140220,137415,135210,128157.5,114575.8333,142297.1905,138133.89,134599.7575,128637.738,119544.6825,2805,5010,12062.5,25644.16667,2205,9257.5,22839.16667,7052.5,20634.16667,13581.66667,4163.300508,7697.432966,13659.45251,22752.50797,3534.132458,9496.152006,18589.20746,5962.019547,15055.07501,9093.055459,5.611510791,4.895104895,5.148658448,5.042016807,19.40713552,176.5275978,99.77250242,14.2735837,2.997532898,2.201166181,0.581906017,0.247139362,0.228756892,0.209542759,2.781886592,0.912492823,0.389357856,0.279882467,0.21364455,1,1,1,2.179836512,-1.226158038,2.179836512,3.448275862,3.448275862,0,9780,12585,14790,21842.5,35424.16667,7702.809503,11866.11001,15400.24247,21362.26202,30455.31748,"61,686","67,449",0,"-227,316","6,520","-9,121","21,103","-13,870","45,834","-115,164","1,528,210","-1,475,009","-1,203,930"
2024-02-14,146300,149200,144900,148700,4396924,2182.770575,846.4203487,60.64690027,55.00991841,143500,138145,135453.3333,128431.6667,114815.4167,144431.4603,139140.1862,135062.0606,128969.3456,119786.6354,5355,8046.666667,15068.33333,28684.58333,2691.666667,9713.333333,23329.58333,7021.666667,20637.91667,13616.25,5291.274151,9369.399769,15462.11471,24644.82496,4078.125618,10170.84056,19353.55081,6092.714942,15275.4252,9182.710253,-0.340599455,-0.533333333,-0.068965517,-0.866666667,-36.30032807,42.12304983,65.20909096,1.347708895,2.62915629,2.339181287,0.531237492,0.179966965,0.213929475,0.209104596,1.499867866,0.728493342,0.343464981,0.257784101,0.202395319,1,1,1,1.640464798,-0.956937799,1.982228298,2.622498275,2.967563837,-0.335120643,5200,10555,13246.66667,20268.33333,33884.58333,4268.539669,9559.813819,13637.93944,19730.65438,28913.36463,"-30,075","-34,264",0,"5,891","1,133","-1,737","19,682","-51,070","-334,371","-390,547","122,359","303,999","-383,833"
2024-02-15,151300,152700,148000,148700,3560211,2664.756791,1210.087637,59.89010989,55.98595671,145640,138975,135726.6667,128714.1667,115063.75,145854.3069,140050.6446,135509.2061,129295.4721,120026.5803,6665,9913.333333,16925.83333,30576.25,3248.333333,10260.83333,23911.25,7012.5,20662.91667,13650.41667,5803.662248,10345.10077,16558.83475,25827.72659,4541.438522,10755.1725,20024.06434,6213.733979,15482.62582,9268.891837,3.417634997,2.345844504,2.139406487,0,-19.0295079,22.08139609,42.96532911,-1.247863248,1.774295116,1.491289199,0.600817981,0.201791515,0.219961328,0.216289189,0.98513617,0.654346155,0.331066736,0.252871345,0.200310272,1,1,1,-1.718440185,-2.181097158,0.925313946,0.472972973,3.175675676,-2.61951539,3060,9725,12973.33333,19985.83333,33636.25,2845.693112,8649.35536,13190.79388,19404.52786,28673.4197,"-43,869","16,933",0,"55,339",-563,0,"-20,960","-24,226","84,951","50,672","48,848","-112,886","430,907"
2024-02-16,150600,150600,145700,146800,3265836,2860.446769,1540.159464,63.74269006,57.53730338,147400,139765,136008.3333,128960.8333,115289.1667,146169.5379,140693.4404,135879.3961,129584.8032,120248.7664,7635,11391.66667,18439.16667,32110.83333,3756.666667,10804.16667,24475.83333,7047.5,20719.16667,13671.66667,5476.097537,10290.14184,16584.73475,25920.77157,4814.044307,11108.63721,20444.67403,6294.592903,15630.62972,9336.036821,-0.462656973,-1.37524558,-1.554054054,-1.277740417,-8.268470605,7.343633716,27.27668776,6.432748538,2.770956792,1.208459215,0.568447563,0.207524928,0.191639097,0.195905893,0.216127343,0.458973788,0.273184364,0.223775074,0.185114043,1,1,1,-2.523240372,-3.253652058,0,0.754975978,3.363074811,-2.523240372,-600,7035,10791.66667,17839.16667,31510.83333,630.462075,6106.559612,10920.60392,17215.19682,26551.23364,"-387,073","14,039",0,"-34,224","2,755","-10,734","-49,863","-12,220","178,024","-313,335","154,757","141,370","-312,747"
2024-02-19,146200,153200,146000,151300,3997323,3340.141803,1900.155931,70.50938338,60.13171938,149100,140520,136340,129251.6667,115540.4167,147879.692,141703.5889,136384.9897,129943.7321,120506.4529,8580,12760,19848.33333,33559.58333,4180,11268.33333,24979.58333,7088.333333,20799.58333,13711.25,6176.103027,11494.7023,17935.9599,27373.23901,5318.59927,11759.85687,21197.13598,6441.257601,15878.53671,9437.279107,-2.921646746,1.726427623,0.205902539,3.065395095,22.39815471,16.76993395,23.3739737,10.61563814,4.509102526,1.153324288,0.540192466,0.243857607,0.225520668,0.217930277,1.169979771,0.717978416,0.372089946,0.27698377,0.214294578,1,1,1,3.488372093,-0.136798906,4.787961696,3.630136986,4.931506849,-1.240208877,2200,10780,14960,22048.33333,35759.58333,3420.30805,9596.411077,14915.01035,21356.26795,30793.54706,"-44,112","-40,488",0,"-39,643",-39,"-3,953","-47,798","-36,126","-29,156","-200,827","733,122","-486,114","430,127"
