,Ticker,Name,Precision_RF,Precision_DT,Precision_LR,Precision_SVM
750,010100,한국무브넥스,0.5485632183908047,0.5221619527314995,0.6304773561811505,0.6554347826086957
483,204210,스타리츠,0.5704238559639909,0.5202790395846852,0.5886516853932584,0.6541745730550285
772,003350,한국화장품제조,0.5020843354176687,0.5339384660250802,0.5782585470085471,0.6531954887218046
799,300720,한일시멘트,0.40688575899843504,0.4214689265536723,0.43676470588235294,0.6531007751937985
866,016580,환인제약,0.5653679653679653,0.46911482192995413,0.4884085213032582,0.652056277056277
380,001275,부국증권우,0.49762259929144137,0.45642236211031173,0.4366883116883117,0.6519174041297935
737,071090,하이스틸,0.5541788517777435,0.5765298617240364,0.5823717948717948,0.6515353805073432
102,108670,LX하우시스,0.5367816091954023,0.5349034350582338,0.45545977011494254,0.6510025062656641
586,000225,유유제약1우,0.46945701357466063,0.4924074893115141,0.5502864743196235,0.6477272727272727
271,001130,대한제분,0.48487559645535105,0.5362715077282006,0.49903697996918334,0.6455301455301455
288,007590,동방아그로,0.45882196162046907,0.5262242828165749,0.58004158004158,0.6452802359882006
299,001527,동양2우B,0.5434821588667743,0.5915971917507679,0.6930292259083728,0.6440746753246753
673,007815,코리아써우,0.536668412781561,0.5647729046355549,0.4715447154471545,0.6436781609195402
687,120115,코오롱인더우,0.5189797320508416,0.551418439716312,0.7226890756302521,0.6422305764411027
617,003120,일성신약,0.5282876540105608,0.5415576419886101,0.6126949317738791,0.6413255360623782
597,088260,이리츠코크렙,0.5482435597189695,0.5078125,0.5814814814814815,0.6397849462365591
259,003220,대원제약,0.5218138353503661,0.4907084785133565,0.5522246608140463,0.6344421344421345
61,096760,JW홀딩스,0.5230056272757365,0.4850980392156863,0.6404122193595878,0.6339717046238785
328,013570,디와이,0.49185038628226874,0.5497209538305429,0.5609636184857424,0.6337043378995434
579,077500,유니퀘스트,0.5529753265602322,0.4843319309444364,0.5253947930004268,0.6324599708879184
46,042670,HD현대인프라코어,0.5210871170173496,0.5631435716387173,0.5885717877797334,0.632016632016632
411,068290,삼성출판사,0.509778411952325,0.45567184854548254,0.6009523809523809,0.6312656641604011
484,026890,스틱인베스트먼트,0.5167769739879945,0.4547466422466422,0.522347217999392,0.63
490,005390,신성통상,0.5480362803804156,0.5168051910177894,0.49376539408866993,0.6280931586608443
