날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,시가_등락률,고가_등락률,저가_등락률,거래량_등락률,MACD_등락률,MACD_Signal_등락률,RSI_등락률,RSI_Signal_등락률,SMA_5_등락률,SMA_20_등락률,SMA_60_등락률,SMA_120_등락률,SMA_240_등락률,EMA_5_등락률,EMA_20_등락률,EMA_60_등락률,EMA_120_등락률,EMA_240_등락률,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary,시가_대비_종가_등락률,시가_대비_저가_등락률,시가_대비_고가_등락률,저가_대비_종가_등락률,저가_대비_고가_등락률,고가_대비_종가_등락률,종가_minus_SMA_5,종가_minus_SMA_20,종가_minus_SMA_60,종가_minus_SMA_120,종가_minus_SMA_240,종가_minus_EMA_5,종가_minus_EMA_20,종가_minus_EMA_60,종가_minus_EMA_120,종가_minus_EMA_240
2020-06-10,4945,4945,4875,4875,55491,-1.4155712841253791,4969.619188401031,4962.890162681421,6.729025719610036,24.946242556022046,17.460317460317455,46.51108501445592,4952.0,4996.0,4858.833333333333,5326.916666666667,,4939.786813377652,4967.941196618683,5030.251869453969,5298.054826011293,5678.381970622936,-44.0,93.16666666666697,-374.91666666666697,,137.16666666666697,-330.91666666666697,,-468.08333333333394,,,-28.1543832410307,-90.46505607631752,-358.26801263364086,-738.5951572452841,-62.31067283528682,-330.11362939261016,-710.4407740042534,-267.80295655732334,-648.1301011689666,-380.32714461164323,-0.3024193548387122,-0.6030150753768893,-0.5102040816326481,-33.407337181533435,-60.18634590060299,-15.43803321803855,-43.510737628384696,-13.50601037683613,-0.4823151125401881,-0.02501375756666091,-0.07026925120401373,-0.1710069105532397,,-0.6514930122221485,-0.19654128895593148,-0.10451315520008109,-0.13402344988141524,-0.1182539614864142,1,0,0,-1.4155712841253791,-1.4155712841253791,0.0,0.0,1.435897435897436,-1.4155712841253791,-77.0,-121.0,16.16666666666697,-451.91666666666697,,-64.78681337765192,-92.94119661868262,-155.25186945396945,-423.0548260112928,-803.381970622936
2020-06-11,4875,4875,4790,4810,110511,-1.3333333333333335,4945.062390185488,4951.564965445761,-6.502575260273261,18.656478992762985,15.714285714285708,40.35172515442188,4917.0,4992.5,4859.333333333333,5316.666666666667,,4896.524542251768,4952.899177893094,5023.030496684986,5289.987804093751,5671.175481240173,-75.5,57.66666666666697,-399.66666666666697,,133.16666666666697,-324.16666666666697,,-457.33333333333394,,,-56.37463564132577,-126.505954433218,-393.4632618419828,-774.650938988405,-70.13131879189223,-337.088626200657,-718.2763033470792,-266.9573074087648,-648.144984555187,-381.1876771464222,-1.4155712841253831,-1.4155712841253831,-1.7435897435897463,99.1512137103314,-196.63472144746243,-25.213270291644406,-10.000000000000009,-13.242778271286682,-0.7067851373182554,-0.07005604483586447,0.010290536136925432,-0.19241900411433033,,-0.8757922712114508,-0.30278173855653456,-0.14355887053757455,-0.15226384366457957,-0.12691096548357317,0,0,0,-1.3333333333333335,-1.7435897435897436,0.0,0.41753653444676403,1.7745302713987474,-1.3333333333333335,-107.0,-182.5,-49.33333333333303,-506.66666666666697,,-86.52454225176825,-142.89917789309402,-213.03049668498625,-479.98780409375104,-861.1754812401732
2020-06-12,4785,4785,4680,4720,92308,-1.8711018711018712,4910.437407080028,4934.412005042372,-23.974597962343978,10.130263601741593,10.465116279069761,34.374403379351456,4862.0,4983.25,4856.083333333333,5304.916666666667,,4837.683028167846,4930.7183038080375,5013.095070564167,5280.566518075673,5663.281908781749,-121.25,5.91666666666697,-442.91666666666697,,127.16666666666697,-321.66666666666697,,-448.83333333333394,,,-93.03527564019168,-175.41204239632134,-442.8834899078274,-825.598880613903,-82.37676675612965,-349.84821426763574,-732.5636049737113,-267.4714475115061,-650.1868382175817,-382.7153907060756,-1.8461538461538418,-1.8461538461538418,-2.2964509394572064,-16.471663454316765,268.6938943838765,-45.701096087470674,-33.40380549682877,-14.813051368177765,-1.118568232662187,-0.18527791687531492,-0.0668816024145924,-0.22100313479623823,,-1.2016995641742079,-0.44783617207593274,-0.19779744772355778,-0.17809655460427898,-0.13918758967229605,0,0,0,-1.3584117032392893,-2.19435736677116,0.0,0.8547008547008548,2.2435897435897436,-1.3584117032392893,-142.0,-263.25,-136.08333333333303,-584.916666666667,,-117.6830281678458,-210.7183038080375,-293.09507056416714,-560.5665180756732,-943.2819087817488
2020-06-15,4720,4750,4685,4695,57526,-0.5296610169491525,4877.293190606178,4916.67778244664,-39.384591840462235,0.2272925133008279,7.86516853932585,29.072556411346337,4809.0,4969.75,4851.833333333333,5293.458333333333,,4790.122018778564,4908.268941540605,5002.6657239882925,5270.887732652935,5655.246374269038,-160.75,-42.83333333333303,-484.45833333333303,,117.91666666666697,-323.70833333333303,,-441.625,,,-118.14692276204096,-212.5437052097286,-480.7657138743707,-865.124355490474,-94.39678244768766,-362.61879111232975,-746.9774327284331,-268.2220086646421,-652.5806502807454,-384.35864161610334,-1.3584117032392928,-0.7314524555903867,0.10683760683760646,-37.680374398752,64.27633907489157,-97.7563020841654,-24.843945068664052,-15.423822515534669,-1.0900863842040365,-0.2709075402598682,-0.08751909117430401,-0.2159945962079357,,-0.9831361234779901,-0.4552959809140722,-0.2080420664095084,-0.18329066378782732,-0.14188830155621446,0,0,0,-0.5296610169491525,-0.7415254237288136,0.6355932203389831,0.21344717182497333,1.3874066168623265,-1.1578947368421053,-114.0,-274.75,-156.83333333333303,-598.458333333333,,-95.12201877856387,-213.26894154060483,-307.6657239882925,-575.8877326529346,-960.2463742690379
2020-06-16,4695,4730,4675,4700,97774,0.10649627263045794,4850.017315128304,4900.6275763394815,-50.6102612111772,-9.940218231594779,6.818181818181827,24.62168149271344,4760.0,4954.25,4848.5,5282.291666666667,,4760.081345852376,4888.4338042510235,4992.7422576280205,5261.451571782639,5647.319018465975,-194.25,-88.5,-522.291666666667,,105.75,-328.04166666666697,,-433.79166666666697,,,-128.3524583986473,-232.6609117756443,-501.3702259302627,-887.237672613599,-104.30845337699702,-373.0177675316154,-758.8852142149517,-268.70931415461837,-654.5767608379547,-385.8674466833363,-0.5296610169491567,-0.42105263157894424,-0.2134471718249764,69.964885443104,28.50269317551273,-4473.315287529346,-13.311688311688286,-15.309540914316798,-1.0189228529839833,-0.31188691584084216,-0.06870255229981526,-0.21095219728751724,,-0.6271379478105188,-0.4041167573705873,-0.1983635706996778,-0.17902412931011247,-0.1401770193272478,0,0,0,0.10649627263045794,-0.42598509052183176,0.7454739084132056,0.53475935828877,1.1764705882352942,-0.6342494714587738,-60.0,-254.25,-148.5,-582.291666666667,,-60.08134585237622,-188.4338042510235,-292.7422576280205,-561.4515717826389,-947.3190184659752
2020-06-17,4685,4720,4585,4650,114063,-1.0638297872340425,4819.24542049318,4882.062570684705,-62.81715019152489,-20.515604623580803,7.142857142857139,21.125916622742178,4715.0,4934.25,4844.583333333333,5270.791666666667,,4723.387563901584,4865.7258228937835,4981.50480655825,5251.344934232513,5639.042512088665,-219.25,-129.58333333333303,-555.791666666667,,89.66666666666697,-336.54166666666697,,-426.20833333333394,,,-142.33825899219937,-258.11724265666544,-527.9573703309288,-915.6549481870807,-115.77898366446607,-385.61911133872945,-773.3166891948813,-269.8401276742634,-657.5377055304152,-387.69757785615184,-0.21299254526091493,-0.21141649048626032,-1.9251336898395754,16.65984822140856,24.119395332525585,106.38988144518171,4.761904761904567,-14.19791280707534,-0.9453781512605008,-0.4036937982540234,-0.08078099755939316,-0.21770853874975016,,-0.7708645984120577,-0.46452467736175507,-0.22507572972753076,-0.19208838876951795,-0.14655638100570245,0,0,0,-0.7470651013874066,-2.134471718249733,0.7470651013874066,1.4176663031624863,2.9443838604143946,-1.4830508474576272,-65.0,-284.25,-194.58333333333303,-620.791666666667,,-73.38756390158414,-215.72582289378352,-331.5048065582496,-601.344934232513,-989.0425120886648
2020-06-18,4600,4690,4580,4600,95134,-1.0752688172043012,4785.515355801922,4861.169046930282,-75.65369112836015,-31.543221924536674,6.521739130434767,18.205081124280696,4673.0,4910.25,4839.916666666667,5258.875,,4682.25837593439,4840.418601665804,4968.9964522448645,5240.578902261727,5630.419752652244,-237.25,-166.91666666666697,-585.875,,70.33333333333303,-348.625,,-418.95833333333303,,,-158.16022573141436,-286.73807631047475,-558.3205263273376,-948.1613767178542,-128.5778505790604,-400.1603005959232,-790.0011509864398,-271.5824500168628,-661.4233004073794,-389.8408503905166,-1.8143009605122717,-0.6355932203389814,-0.10905125408942062,-16.595214925085255,20.434771233170544,53.75233878450083,-8.695652173913205,-13.825840320306792,-0.890774125132554,-0.48639610883113304,-0.09632751354604618,-0.22608874378454713,,-0.8707561556354881,-0.5201119452499015,-0.2510958997152368,-0.20501475537445524,-0.15291176503698933,0,0,0,0.0,-0.43478260869565216,1.956521739130435,0.43668122270742354,2.4017467248908297,-1.9189765458422177,-73.0,-310.25,-239.91666666666697,-658.875,,-82.25837593438973,-240.4186016658041,-368.9964522448645,-640.5789022617273,-1030.419752652244
2020-06-19,4710,4710,4575,4615,65950,0.32608695652173914,4759.282224140088,4842.9343027132245,-83.65207857313635,-41.96499325425661,9.574468085106389,16.478958516445836,4652.0,4888.5,4841.083333333333,5247.166666666667,,4659.838917289593,4818.950163411918,4957.390011187656,5230.238755116906,5621.9930327132215,-236.5,-189.08333333333303,-595.166666666667,,47.41666666666697,-358.66666666666697,,-406.08333333333394,,,-159.1112461223247,-297.5510938980624,-570.3998378273127,-962.1541154236284,-138.4398477757377,-411.288591704988,-803.0428693013037,-272.8487439292503,-664.603021525566,-391.75427759631566,2.3913043478260843,0.4264392324093924,-0.10917030567685337,-30.676729665524416,10.572369074769261,33.03965382690697,46.808510638298316,-9.481543070591847,-0.4493901134175027,-0.44295096990988325,0.02410509822825535,-0.22263950623152562,,-0.47881720410875017,-0.44352441432436995,-0.23357716530397754,-0.19730925414287448,-0.14966415132819932,0,0,0,-2.0169851380042463,-2.8662420382165608,0.0,0.8743169398907104,2.9508196721311477,-2.0169851380042463,-37.0,-273.5,-226.08333333333303,-632.166666666667,,-44.838917289593155,-203.95016341191786,-342.39001118765555,-615.2387551169058,-1006.9930327132215
2020-06-22,4615,4625,4575,4590,37439,-0.5417118093174431,4733.238805041613,4824.198428438171,-90.95962339655762,-51.76391928271681,6.25,14.433166813156669,4631.0,4865.0,4843.166666666667,5235.5,,4636.559278193063,4797.145385944116,4945.344437050355,5219.656296354643,5613.428775180332,-234.0,-212.16666666666697,-604.5,,21.83333333333303,-370.5,,-392.33333333333303,,,-160.58610775105353,-308.7851588572921,-583.0970181615803,-976.8694969872695,-148.19905110623858,-422.5109104105268,-816.283389236216,-274.3118593042882,-668.0843381299774,-393.7724788256892,-2.016985138004246,-1.8046709129511673,0.0,-43.23123578468536,8.735640462337502,23.350238540706236,-34.722222222222264,-12.414569168600597,-0.4514187446259643,-0.48072005727728406,0.04303444476960738,-0.2223422164342681,,-0.49958033978717564,-0.4524798291826171,-0.2429821763088369,-0.20233223104604292,-0.15233490121840942,0,0,0,-0.5417118093174431,-0.8667388949079089,0.21668472372697722,0.32786885245901637,1.092896174863388,-0.7567567567567568,-41.0,-275.0,-253.16666666666697,-645.5,,-46.55927819306271,-207.14538594411624,-355.3444370503548,-629.656296354643,-1023.4287751803322
2020-06-23,4620,4620,4560,4560,29188,-0.6535947712418301,4706.586681189057,4804.628174479787,-98.0414932907297,-61.01943408431939,6.060606060606062,12.75865466264655,4603.0,4839.5,4842.833333333333,5223.5,,4611.039518795375,4774.560111092296,4932.710193212639,5208.752886497542,5604.686627668463,-236.5,-239.83333333333303,-620.5,,-3.33333333333303,-384.0,,-380.66666666666697,,,-163.52059229692077,-321.6706744172634,-597.7133677021666,-993.6471088730877,-158.15008212034263,-434.1927754052458,-830.126516576167,-276.0426932849032,-671.9764344558243,-395.93374117092117,0.10834236186347823,-0.108108108108107,-0.3278688524590123,-22.038515986003905,7.785729128733498,17.880243478188195,-3.0303030303030054,-11.601834664473664,-0.6046210321744794,-0.5241521068859223,-0.006882549296272078,-0.22920446948715423,,-0.5504029575921332,-0.4708065533722605,-0.2554775304033585,-0.2088913376291801,-0.1557363219877761,0,0,0,-1.2987012987012987,-1.2987012987012987,0.0,0.0,1.3157894736842104,-1.2987012987012987,-43.0,-279.5,-282.83333333333303,-663.5,,-51.03951879537544,-214.5601110922962,-372.71019321263884,-648.752886497542,-1044.6866276684632
2020-06-24,4560,4595,4525,4555,70849,-0.10964912280701754,4683.265653313818,4786.137198592396,-102.8715452785782,-69.38985632317116,6.122448979591837,11.431413526035607,4584.0,4813.25,4842.0,5210.291666666667,,4592.359679196918,4753.649624321602,4920.3262524515685,5197.947053662872,5595.9755353226665,-229.25,-258.0,-626.291666666667,,-28.75,-397.04166666666697,,-368.29166666666697,,,-161.28994512468398,-327.96657325465094,-605.5873744659548,-1003.6158561257489,-166.67662812996696,-444.2974293412708,-842.3259110010649,-277.62080121130384,-675.649282871098,-398.0284816597941,-1.2987012987012991,-0.5411255411255422,-0.7675438596491224,142.73331506098395,4.926538576402106,13.717633348229906,1.0204081632652962,-10.402673100767434,-0.4127742776450116,-0.542411406137,-0.01720755755927339,-0.2528636610191093,,-0.40511124492244033,-0.43795629930629687,-0.25105753786448526,-0.20745527903005545,-0.1554251454986444,0,0,0,-0.10964912280701754,-0.7675438596491228,0.7675438596491228,0.6629834254143646,1.5469613259668509,-0.8705114254624592,-29.0,-258.25,-287.0,-655.291666666667,,-37.35967919691757,-198.64962432160155,-365.3262524515685,-642.9470536628723,-1040.9755353226665
2020-06-25,4550,4550,4510,4550,25308,-0.10976948408342481,4662.7632451116915,4768.645554252219,-105.88230914052747,-76.68834688664242,4.123711340206185,9.969873088869724,4574.0,4790.25,4838.5,5197.458333333333,,4578.239786131278,4734.254422005259,4908.184408108894,5187.237185007289,5587.295240423723,-216.25,-264.5,-623.458333333333,,-48.25,-407.20833333333303,,-358.95833333333303,,,-156.0146358739803,-329.9446219776155,-608.9973988760103,-1009.0554542924447,-173.9299861036352,-452.98276300202997,-853.0408184184644,-279.05277689839477,-679.1108323148292,-400.0580554164344,-0.21929824561403022,-0.9793253536452662,-0.33149171270717703,-64.27895947719799,2.926721722509429,10.518094358748664,-32.646048109965655,-12.785299331855615,-0.21815008726003837,-0.47784760816496075,-0.07228418009087578,-0.24630738842196243,,-0.30746487757919994,-0.4080065602039551,-0.24676909049730078,-0.20604035679887556,-0.15511674138229958,0,0,0,0.0,-0.8791208791208791,0.0,0.8869179600886918,0.8869179600886918,0.0,-24.0,-240.25,-288.5,-647.458333333333,,-28.23978613127838,-184.25442200525868,-358.1844081088939,-637.2371850072886,-1037.295240423723
2020-06-26,4550,4575,4510,4570,23163,0.43956043956043955,4648.491976632969,4753.931068752055,-105.43909211908522,-82.43849593313098,8.510638297872333,9.678026130670245,4565.0,4768.75,4834.333333333333,5184.708333333333,,4575.493190754186,4718.611143719044,4897.096394728274,5177.034917486508,5578.852956270829,-203.75,-269.33333333333303,-619.708333333333,,-65.58333333333303,-415.95833333333303,,-350.375,,,-143.11795296485798,-321.6032039740885,-601.5417267323219,-1003.3597655166432,-178.48525100923052,-458.4237737674639,-860.2418125517852,-279.9385227582334,-681.7565615425547,-401.8180387843213,0.0,0.5494505494505475,0.0,-8.475580844001895,-0.41859402674531143,7.498074062006044,106.38297872340412,-2.927288598340272,-0.19676432006996425,-0.4488283492510847,-0.08611484275430348,-0.24531221189844077,,-0.0599923880224118,-0.330427494844876,-0.22590865498657298,-0.1966801817019026,-0.15109787096652116,0,0,0,0.43956043956043955,-0.8791208791208791,0.5494505494505495,1.3303769401330376,1.441241685144124,-0.1092896174863388,5.0,-198.75,-264.33333333333303,-614.708333333333,,-5.493190754185889,-148.61114371904387,-327.0963947282744,-607.0349174865078,-1008.852956270829
2020-06-29,4565,4645,4565,4600,43873,0.6564551422319475,4641.03167253559,4742.528767363014,-101.49709482742401,-86.2502157119896,14.432989690721655,10.629018842680527,4567.0,4749.0,4831.0,5172.291666666667,,4583.662127169458,4707.31484431723,4887.3555293273475,5167.497150255326,5570.729695222938,-182.0,-264.0,-605.291666666667,,-82.0,-423.29166666666697,,-341.29166666666697,,,-123.65271714777282,-303.69340215789,-583.8350230858687,-987.0675680534805,-180.04068501011716,-460.18230593809585,-863.4148509057077,-280.1416209279787,-683.3741658955905,-403.23254496761183,0.3296703296703285,1.5300546448087537,1.2195121951219523,89.4098346500885,-3.7386487425451587,4.623713394711193,69.5876288659796,9.826308579561772,0.04381161007667167,-0.4141546526867601,-0.0689512514652102,-0.23948630990170416,,0.17853674073384784,-0.23939882007124602,-0.1989110406610095,-0.1842322368536764,-0.14560808667236635,0,0,1,0.7667031763417306,0.0,1.7524644030668126,0.7667031763417306,1.7524644030668126,-0.9687836383207751,33.0,-149.0,-231.0,-572.291666666667,,16.337872830542437,-107.31484431723038,-287.35552932734754,-567.4971502553262,-970.7296952229381
