,Feature,Correlation,T-test,Lasso Importance,Ridge Importance,RF Importance
57,SMA_5_minus_SMA_20,0.004525611508366166,0.8258574954118223,0.0,0.0001902075908333245,0.006424067330402997
58,SMA_120,0.0044788687579517174,0.827627748392594,0.0,0.0001594056811882183,0.006391370897617537
59,EMA_120,0.004041497103980156,0.8442332445427294,0.0,0.00015149864520935807,0.006314682088511751
60,MACD_Signal,0.003973938792777183,0.8468045772439348,0.0,0.00012248226994415745,0.0062989130025771995
61,종가,0.0037927361854233617,0.8537092990038733,0.0,0.00011032119073206559,0.00586945393007482
62,저가,0.002558789538331371,0.9010002277022954,0.0,8.987116041225818e-05,0.005518285019360035
63,SMA_20_minus_SMA_60,0.0016347529563900348,0.9366548604677088,0.0,5.809764115838334e-05,0.005310465042135894
64,EMA_60,0.0016012358354937683,0.9379509702770163,0.0,4.117744720133487e-05,0.005269578181289693
65,EMA_5,0.001520669678074907,0.9410671358123728,0.0,3.487025787762832e-05,0.005234866476510558
66,종가_minus_SMA_120,0.0014415291758193582,0.9441290377276154,0.0,2.6269236059306422e-05,0.005221160427403715
67,MACD,0.0014268173783197717,0.9446983212770939,0.0,2.1382977138273418e-05,0.005215974677827145
68,SMA_5,0.0011098030804440383,0.9569717917051731,0.0,2.0861603843513876e-05,0.004669019308644594
69,SMA_5_minus_SMA_60,0.000963519772334945,0.9626388872088862,0.0,1.5731300663901493e-05,0.004595728088166505
70,SMA_60,0.0009092831085792473,0.964740540026243,0.0,1.364213426313654e-05,0.004509507717761701
71,EMA_short,0.0007842164880690394,0.969587739293307,0.0,1.3332995877135545e-05,0.004437613940664799
72,EMA_long,0.0006995702846136508,0.9728690151540034,0.0,8.511837222613394e-06,0.004274216464056222
73,EMA_20,0.0006691955693857153,0.9740465935034266,0.0,8.202674507629126e-06,0.003970523187990926
74,SMA_20,0.0006298355937526869,0.9755725995211506,0.0,7.528607966378331e-06,0.0038803725741720116
75,고가,0.0005749257705351142,0.97770162899396,0.0,7.219450708362274e-06,0.0034424843899966222
76,EMA_5_minus_EMA_60,0.0002127603117601728,0.9917472108673,0.0,5.130307727085892e-06,0.0006512816543583415
77,종가_minus_EMA_120,0.00019771876692902652,0.9923306407874242,0.0,3.0911178328096867e-07,0.0005023276764094837
78,시가,0.00014464836003723783,0.9943891610047997,0.0,2.7939677238464355e-08,0.00027043982678812747
