,Ticker,Name,Precision_RF,Precision_DT,Precision_LR,Precision_SVM
367,93520,매커스,0.567221067,0.601602564,0.529395297,0.715732087
939,19210,와이지-원,0.52605042,0.498565051,0.563131313,0.714814815
1261,41960,코미팜,0.481937603,0.406554186,0.573232323,0.708479532
761,42110,에스씨디,0.543371212,0.466740227,0.580665025,0.708333333
1173,303030,지니틱스,0.523388773,0.481182796,0.485943775,0.705275229
1410,405000,플라즈맵,0.723214286,0.638888889,0.723214286,0.7
129,66620,국보디자인,0.608044733,0.546331436,0.309734513,0.698809524
265,75970,동국알앤에스,0.482532051,0.478336496,0.536858974,0.696581197
733,196170,알테오젠,0.478219697,0.45984127,0.511178862,0.696296296
83,40610,SG&G,0.557017544,0.546099291,0.594202899,0.682614555
52,44180,KD,0.646780303,0.551749814,0.605555556,0.68233945
950,73560,우리손에프앤지,0.583227041,0.519905956,0.597984323,0.679761905
1091,37330,인지디스플레,0.547954393,0.460902012,0.50464191,0.679761905
526,79650,서산,0.56148374,0.546398443,0.844036697,0.679487179
1223,192250,케이사인,0.579125178,0.539003759,0.649659864,0.677752294
490,18310,삼목에스폼,0.52770936,0.475653595,0.550970874,0.677752294
82,255220,SG,0.522423289,0.523674242,0.65285205,0.677350427
1397,93380,풍강,0.509302326,0.518973214,0.623863636,0.675857843
1237,102370,케이옥션,0.533333333,0.6,0.485795455,0.675438596
489,14970,삼륭물산,0.573116438,0.564081765,0.602397602,0.675242718
262,6620,동구바이오제약,0.485531136,0.434837093,0.66983017,0.675170068
366,5990,매일홀딩스,0.611174242,0.568428184,0.570409982,0.674242424
296,263720,디앤씨미디어,0.479256854,0.538847118,0.808035714,0.673180593
447,337930,브랜드엑스코퍼레이션,0.464090909,0.483388704,0.45379538,0.673165138
112,198440,고려시멘트,0.552134647,0.432075472,0.586448598,0.66969697
813,224110,에이텍모빌리티,0.536842105,0.485331633,0.521022727,0.668577982
673,74430,아미노로직스,0.570987654,0.537147335,0.654761905,0.668463612
1486,66980,한성크린텍,0.558974359,0.473824451,0.59679089,0.667692308
1480,37230,한국팩키지,0.628030303,0.45815047,0.631368631,0.667557932
1154,276730,제주맥주,0.606531389,0.59404816,0.605882353,0.666666667
137,114450,그린생명과학,0.53014553,0.500945776,0.530097087,0.665151515
802,88800,에이스테크,0.583395383,0.493781888,0.603583427,0.665109034
846,333620,엔시스,0.555970149,0.621580027,0.650412088,0.663636364
983,53580,웹케시,0.593956044,0.517780939,0.665591398,0.662692308
1109,68330,일신바이오,0.598214286,0.634705882,0.62278481,0.66025641
70,222160,NPX,0.552083333,0.613111888,0.556684492,0.660066007
20,241520,DSC인베스트먼트,0.549084249,0.54040404,0.584230769,0.659863946
1301,237880,클리오,0.480730897,0.488244514,0.554230769,0.65940367
415,53030,바이넥스,0.405788177,0.417359667,0.636029412,0.65902965
499,54540,삼영엠텍,0.494975745,0.548507463,0.525624462,0.657754011
1159,64800,젬백스링크,0.58627451,0.500658762,0.519957983,0.656060606
992,65370,위세아이텍,0.538523533,0.429239201,0.535943775,0.655448718
1543,37440,희림,0.51377513,0.485423197,0.581553398,0.654816514
1323,393210,토마토시스템,0.527777778,0.591750842,0.433789954,0.652777778
678,50860,아세아텍,0.558349452,0.605396825,0.572974036,0.6525
426,308080,바이젠셀,0.48629386,0.465116279,0.490180676,0.652083333
627,17000,신원종합개발,0.525071124,0.534879948,0.724074074,0.651515152
1124,45510,정원엔시스,0.515068493,0.474418605,0.545769231,0.651090343
1383,119500,포메탈,0.514102564,0.502095422,0.588095238,0.650895857
1065,67010,이씨에스,0.552098151,0.462398374,0.617034314,0.650641026
1465,25550,한국선재,0.497802198,0.544164541,0.483153639,0.650229358
160,130580,나이스디앤비,0.492424242,0.588714734,0.567391304,0.649514563
506,250,삼천당제약,0.494514107,0.471383648,0.509885204,0.647950089
572,331920,셀레믹스,0.602627258,0.557692308,0.429445876,0.646116505
1541,10240,흥국,0.582972583,0.528491436,0.582026876,0.642719072
991,123420,위메이드플레이,0.502310924,0.471943574,0.511766975,0.642424242
1360,150900,파수,0.430821918,0.424337957,0.521883289,0.642424242
1043,302430,이노메트리,0.519934641,0.51952381,0.539455782,0.641744548
28,83450,GST,0.540019133,0.452537594,0.561172305,0.641071429
1342,277880,티에스아이,0.571917808,0.532629256,0.510389036,0.641025641
1299,214150,클래시스,0.479575163,0.494193346,0.535622179,0.63997114
817,262260,에이프로,0.513001253,0.531818182,0.505700872,0.63939951
434,206400,베노티앤알,0.4502997,0.448356808,0.516172507,0.637878788
241,131220,대한과학,0.549084249,0.564215686,0.598830409,0.637242268
858,348370,엔켐,0.456896552,0.529069767,0.59502924,0.636554622
584,32685,소프트센우,0.562655087,0.525694444,0.524193548,0.636554622
806,227100,에이치앤비디자인,0.470238095,0.395092461,0.297297297,0.636085627
930,65530,와이어블,0.517102616,0.525314465,0.611891386,0.634559885
942,79000,와토스코리아,0.570719178,0.56941809,0.605555556,0.634353741
1484,92460,한라IMS,0.479634831,0.432795699,0.571668533,0.633333333
1195,94850,참좋은여행,0.513068182,0.490196078,0.608455882,0.633333333
1006,11320,유니크,0.560025957,0.539003759,0.482580038,0.633333333
502,2290,삼일기업공사,0.557026144,0.551587302,0.598621878,0.633333333
